"concept","cuis","rep_cuis","excluded_cuis","cc"
"no of previous csdmards n","C0205156;C1552607",NULL,NULL,1045
"missing hb at yr $nmbr$","C0019046;C0439234;C1551393;C1705492;C3272743","C1705492","",1144
"medication n","C0013227;C3244316;C4284232",NULL,NULL,2263
"prior ed therapy","C1514463;C3538926",NULL,NULL,411
"mtx","C0025677;C1417487","C0025677","",1408
"aspartate aminotransferase u l","C0004002;C0439339",NULL,NULL,1572
"naproxen","C0027396","C0027396","",338
"prior lev use","C0023556;C0042153;C0332152;C0457083;C1947944;C2826257",NULL,NULL,294
"placebo n $nmbr$ i $nmbr$","C0021966;C0032042;C0221138;C0369718;C0441922;C1696465;C1706408","C0032042","",28
"log rank p value","C0667477;C0699794;C1708728;C1709380;C2986775",NULL,NULL,1740
"family history of cad","C0241889;C1504769;C2239547;C3813548;C4284121",NULL,NULL,698
"medical history duration of heart failure years primary cause of heart failure","C0015127;C0199168;C0205225;C0205476;C0439234;C0439612;C0439631;C0449238;C0455531;C1524003;C2926735",NULL,NULL,2343
"first recorded event no and of patients","C0030705;C0034869;C0205435;C0441471;C1279901;C3853788;C4019010",NULL,NULL,806
"fatty acid group n $nmbr$","C0015684;C0441848","C0015684","",1236
"$nmbr$ $nmbr$ $nmbr$ $nmbr$ $nmbr$ i $nmbr$ i","C0021966;C0221138",NULL,NULL,1021
"hrt use","C0042153;C0282402;C0457083;C1947944",NULL,NULL,549
"presence of erosions n","C0150312;C0333307;C0392148;C1959609;C3854307","C1959609;C0150312","",293
"statin only n $nmbr$ $nmbr$","C0205171;C0360714;C1720467",NULL,NULL,925
"week $nmbr$ mmol l","C0332174;C0439230;C1532563",NULL,NULL,1012
"major coronary disease event fatal non fatal mi","C0010068;C0012634;C0205082;C0205164;C0441471;C0741923;C1302234;C1518422;C1705232;C1956346;C3810814;C4019010;C4318856;C4521762","C1320716;C0205082","",2077
"aspirin no","C0004057","C0004057","",1366
"diabetic patients","C0030705;C0241863",NULL,NULL,996
"$nmbr$ obesity class $nmbr$","C0028754;C0456387;C1518526;C1705943;C1963185",NULL,NULL,710
"current corticosteroid use n","C0239126;C0521116;C1705970",NULL,NULL,1417
"orthopnea frequent continuous","C0085619;C0332183;C0549178","C0085619","",279
"empagliflozin $nmbr$ mg","C0024671;C0026410;C0439269;C1960952;C2346927;C3490348;C4321396;C4521761","C3490348","",1182
"all cause mortality","C0015127;C0026565;C0026566;C0444868;C1524003;C3539085",NULL,NULL,924
"ace or arb","C1452534;C3888198;C4284014",NULL,NULL,46
"age categories y n","C2916832","C1510829","",481
"history of mi n $nmbr$ $nmbr$","C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C3810814",NULL,NULL,832
"ex smokers","C0337671;C4555205","C0037369","",420
"left atrial diameter mm sd","C0225860;C0225861;C1301886;C2699239;C4330985;C4554674","C0225860","",1196
"pci duration in min median iqr","C0449238;C0549183;C0702093;C0876920;C1524029;C2347635;C2348144;C2926735;C2939193;C3813700;C4049621",NULL,NULL,901
"delayed eptifibatide","C0205421;C0253563;C1545665;C3272602",NULL,NULL,317
"american indian or alaskan","C0002460;C0238611",NULL,NULL,637
"mean weight kg sd","C0005910;C0022718;C0043100;C0439209;C0444504;C1305866;C1705104;C2347634;C2348143;C2699239;C4054209",NULL,NULL,37
"angiogenin ng ml","C0051844;C0439275;C1367482",NULL,NULL,204
"total cholesterol mean sd","C0201950;C0444504;C0543421;C2347634;C2348143;C2699239","C0543421","",1504
"never smoked no","C0037366;C0439994;C1881674;C2003901","C0037369","",420
"abciximab no total","C0288672;C0439175;C0439810","C0288672","",374
"red blood cell counting $nmbr$ l","C0005767;C0005768;C0022827;C0229664;C0332575;C0750480;C1260956;C1705566;C4049926",NULL,NULL,17
"worldwide black patients","C0005680;C0027567;C0030705;C0085756;C0439541",NULL,NULL,1035
"multiple $nmbr$ chd risk","C0439064;C1282512",NULL,NULL,972
"lvh by ecg","C0232306","C0232306","",406
"age $nmbr$ $nmbr$ yr","C0001779;C0439234","C0001779","",480
"physical function","C0516981;C4049916",NULL,NULL,1533
"change in das $nmbr$ esr mean i physical function outcomes week $nmbr$","C0021966;C0051767;C0057671;C0221138;C0332174;C0392747;C0439230;C0443172;C0444504;C0516981;C1274040;C1705241;C2347634;C2348143;C3811131;C4049916;C4319952",NULL,NULL,767
"total no of events of participants total no of participants","C0439175;C0439810;C0441471;C0679646;C3541888",NULL,NULL,1033
"copd worsening","C0024117;C0332271;C1412502;C1457868;C1546960;C3714496","C0332271",";C1538440;C3273279;C1412502",282
"age n","C0001779","C0001779","",480
"qualifying risk factors no","C0035648;C1514624;C1553898",NULL,NULL,175
"no nadroparin n $nmbr$","C0206232","C0206232","",860
"standard care n $nmbr$","C1442989;C1947933;C2828392",NULL,NULL,1482
"$nmbr$ $nmbr$ mg n $nmbr$","C0024671;C0026410;C0439269;C1960952;C2346927;C4321396;C4521761",NULL,NULL,192
"east asian","C0078988;C1707877","C0078988","",1369
"event rate of primary endpoints","C0441471;C0871208;C1521828;C2986535;C4019010",NULL,NULL,2007
"patient reported hypertension no","C0020538;C0030705;C0684224;C0700287;C1963138;C4319718","C0020538","",1364
"fasting insulin iiiu ml mean sd","C0015663;C0021641;C0439526;C0444504;C1533581;C1579433;C1705224;C2347634;C2348143;C2699239;C3714501;C3887665",NULL,NULL,157
"with t $nmbr$ dm n $nmbr$","C0011816;C2986835;C3250443",NULL,NULL,955
"bmi kg m $nmbr$ median $nmbr$ th to $nmbr$ th percentile","C0039725;C0039738;C0549183;C0876920;C1420718;C1532718;C2347635;C2348144;C2923536;C2939193;C4282123;C4285344","C1305855","",1891
"patients with baseline crp concentration $nmbr$ mg l","C0030705;C0086045;C0168634;C0439268;C1442488;C1446561;C3827302;C3890735;C4048285",NULL,NULL,1545
"baseline creatinine clearance","C0168634;C0812399;C1442488",NULL,NULL,625
"proximal","C0205107;C4489236","C0205107","",1447
"discontinuation of ics laba prior to baseline n","C0168634;C0457454;C0815320;C1442488;C1444662;C4551720;C4552847",NULL,NULL,1359
"pretreatment hdl c","C1550147;C2709094;C3539075;C3539076;C3715113",NULL,NULL,715
"history of hf or lvef b $nmbr$ with index event no","C0018488;C0019664;C0019665;C0262512;C0262926;C0428772;C0441471;C0488728;C0600653;C0918012;C1313497;C1538440;C1552854;C1637833;C1705255;C2004062;C2986546;C3273279;C4019010","C0018801;C0428772","",1273
"homa median","C0549183;C0876920;C2347635;C2348144;C2939193",NULL,NULL,634
"liraglutide $nmbr$ $nmbr$ mg","C0024671;C0026410;C0439269;C1456408;C1960952;C2346927;C4321396;C4521761","C1456408","",1566
"timi risk score","C0035647;C0449820;C4050231;C4552904",NULL,NULL,2052
"week $nmbr$ before ee","C0332174;C0439230",NULL,NULL,1012
"fpg mean sd mg dl","C0439269;C0444504;C2347634;C2348143;C2699239",NULL,NULL,192
"patients without ra as or psa n $nmbr$ $nmbr$","C0030705;C3538806;C3810537;C3813209;C4048756",NULL,NULL,1755
"panel a","C0441833;C1706365;C1999270",NULL,NULL,1527
"rr reduction $nmbr$ $nmbr$ $nmbr$ $nmbr$ cl","C0301630;C0392756;C0596019;C1293152;C4551656;C4554402",NULL,NULL,1542
"number stent $nmbr$","C0038257;C0237753;C0449788",NULL,NULL,569
"$nmbr$ ell ll non hdl c","C1427925;C1518422;C3273466;C3715113",NULL,NULL,664
"time since onset h","C0033727;C0040223;C0206132;C0332162;C0369286;C0441932;C0564385;C3541383;C4528284",NULL,NULL,736
"age yr mean sd","C0001779;C0439234;C0444504;C2347634;C2348143;C2699239","C0001779","",480
"good tried previous glucocorticoid","C0017710;C0205156;C0205170;C1552607","C0017710","",1348
"asia australia new zealand","C0003980;C4289954",NULL,NULL,55
"cardiovascular disease history","C0007222;C0007226;C0012634;C0019664;C0019665;C0262512;C0262926;C0683519;C1705255;C1880008;C2004062;C3887460","C0007222","",1790
"nc","C0027964;C0028407;C0067895;C0265987",NULL,NULL,1591
"other forms of atherosclerosis","C0003850;C0004153;C0348078;C0376315","C0004153","",1698
"baseline pos frequency per $nmbr$ days median min max","C0168634;C0549183;C0585290;C0702093;C0876920;C1262869;C1442488;C1524029;C2347635;C2348144;C2939193;C3496112;C3496399;C3813700",NULL,NULL,1475
"swollen joints $nmbr$ joint count mean sd","C0444504;C0451521;C2347634;C2348143;C2699239",";C0451521","",1140
"diet only","C0012155;C0012159;C0205171;C1519433;C1720467;C2983588;C3668949","C0012155","",1199
"small medium","C0009458;C0439536;C0700321;C1705217;C3244283;C4085196;C4522282;C4522283",NULL,NULL,1377
"subgroup sex","C0009253;C0036864;C0079399;C0804628;C1079230;C1314687;C1515021;C1522384",NULL,NULL,568
"number ste t $nmbr$","C0237753;C0449788;C1420459;C3811127",NULL,NULL,1556
"physician s global assessment vas","C0042815;C3536884;C3827561;C4050369",NULL,NULL,1751
"main etiology of heart failure","C0015127;C0018801;C0018802;C0205225;C1314792;C1524003;C1542147;C4554158",NULL,NULL,924
"certolizumab pegol n $nmbr$","C1872109","C1872109","",1406
"pulmonary embolism only","C0034065;C0205171;C1720467",NULL,NULL,925
"cabg no","C0010055","C0010055","",389
"asas $nmbr$ $nmbr$","C0004057;C3853627",NULL,NULL,60
"post bronchodilator fev $nmbr$ mean sd l","C0444504;C2347634;C2348143;C2599594;C2699239;C3714541",NULL,NULL,2142
"hoehn yahr stage off n","C0205390;C1300072;C1306673",NULL,NULL,541
"severe hyperkalemia s","C0020461;C0205082;C4050465;C4050466;C4552983",NULL,NULL,313
"active comparatorb","C0205177;C3853793;C3888249",NULL,NULL,496
"permanently stopped study drug because of adverse events","C0041755;C0557651;C1272691;C2603343",NULL,NULL,1730
"budesonide $nmbr$ g n $nmbr$","C0054201;C0439267","C0054201","",1160
"pbo mtx n $nmbr$","C0025677;C0031962;C1417487","C0025677","",1408
"baseline lvef","C0168634;C0428772;C0488728;C1442488","C0018801;C0428772","",1273
"ldl to hdl cholesterol ratio mean sd","C0008377;C0428621;C0444504;C1171408;C2347634;C2348143;C2699239","C0023824","",1068
"fibrinogen","C0016006;C1167394;C2587184;C3540039","C0016006","",1142
"duration of diabetes mellitus y mean sd","C0011849;C0444504;C0449238;C2347634;C2348143;C2699239;C2926735","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"extreme tortuosity","C0205403;C0333076;C3641272;C4085555","","",-10
"ls t score $nmbr$ $nmbr$","C0023668;C0449820;C4050231",NULL,NULL,748
"moderate or severe renal disease b n","C0022646;C0022658;C0205081;C0205082;C1836348;C1881878;C4049705;C4049706;C4050465;C4050466;C4085643;C4321335","C1565489","",937
"other sglt $nmbr$ inhibitor","C1999216",NULL,NULL,812
"chd nonfatal mi fatal chd","C0280604;C1302234;C1705232;C3542407;C3810814",NULL,NULL,1682
"number of patients or mean sd","C0444504;C2347634;C2348143;C2360800;C2699239",NULL,NULL,1287
"a $nmbr$ $nmbr$ $nmbr$ median","C0549183;C0876920;C2347635;C2348144;C2939193",NULL,NULL,635
"uc duration y mean range","C0444504;C0449238;C1514721;C2347634;C2348143;C2348147;C2926735;C3542016",NULL,NULL,1589
"acetyl salicylic acid","C0004057","C0004057","",1366
"with diabetes","C0011847;C0011849","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"no previous myocardial infarction","C0027051;C0205156;C0428953;C1552607;C2926063;C3810814;C4552959",NULL,NULL,646
"adherence to study regimen no","C0040363;C0040808;C0041260;C0557651;C1510802;C1883351;C2603343;C2945654",NULL,NULL,431
"previous episode of heart failure","C0018801;C0018802;C0205156;C0332189;C1552607;C4554158",NULL,NULL,2395
"previous cardiovascular event","C0205156;C1320716;C1552607","C1320716","",414
"non hdl c mmol l mean sd","C0444504;C1518422;C1532563;C2347634;C2348143;C2699239;C3715113","C0023822","",821
"b myocardial infarction","C0027051;C0428953;C2926063;C3810814;C4552959",NULL,NULL,646
"p blockersubgroup","C0369773;C2603361",NULL,NULL,1823
"p value for adjusted hr","C0456081;C1709380",NULL,NULL,1580
"reversibility predicted fev $nmbr$","C0449261;C0681842;C1882327;C3714541","C0449261;C0231999","",1315
"i with mets n $nmbr$","C0021966;C0221138;C0812270;C1705694;C2939420",NULL,NULL,921
"vasp pri defined hpr patients","C0030705;C0034044;C0255567;C1337105;C1421428;C1704788;C1826843;C3539106;C3539761;C3539762",NULL,NULL,1200
"male sex no of patients","C0030705;C0086582",NULL,NULL,1035
"$nmbr$ $nmbr$ o $nmbr$ o $nmbr$ o","C0483204","","",-10
"use of statins","C0360714;C1524063","C0360714","",872
"traditional nsaid","C0003211;C0443324;C1548559;C3536840",NULL,NULL,2121
"nitrate","C0028125;C0699857;C3848573",NULL,NULL,537
"\mean sd","C0444504;C2347634;C2348143;C2699239",NULL,NULL,37
"esrd or $nmbr$ dedine in gfr","C0017654;C0022661;C0035078;C1424601;C2316810","C0035078",";C1424601",1828
"clopidogrel $nmbr$ mg loading dose","C0024671;C0026410;C0070166;C0439269;C1708715;C1960952;C2346927;C3714444;C4086581;C4321396;C4521761","C0070166",";C0369286;C0033727;C4049621",217
"p value heart failure vs no heart failure","C0018801;C0018802;C1709380;C4554158",NULL,NULL,7
"haq di score $nmbr$ $nmbr$ mean sd","C0444504;C0449820;C2347634;C2348143;C2699239;C3826998;C4050231;C4321476",NULL,NULL,1665
"in clinic uask","C0002424;C0150312;C0332285;C0442592;C1707101",NULL,NULL,1552
"number of antihypertensive medications used n no antihypertensive therapy","C0003364;C0369718;C0441922;C0585941;C1273517;C1718138",";C0003364","",1579
"egfr ckd epi cystatin c ml min $nmbr$ $nmbr$ m $nmbr$","C0071744;C0162734;C0369637;C0439445;C0441923;C1413772;C1561643;C1739039;C3811844;C3812682;C4281721","C3811844;C0017654","",592
"pre procedure","C3272300","C3272300","",2241
"week $nmbr$ geometric mean cv","C0332174;C0439230;C2986759;C3538987;C4048877;C4318503",NULL,NULL,1012
"m f","C1306057","","",-10
"das $nmbr$ $nmbr$ esr $nmbr$ $nmbr$ t","C0051767;C0057671;C3811131","C1619634","",298
"normoalbuminuria uacr $nmbr$ mg g","C1300563",NULL,NULL,2315
"usa n $nmbr$ $nmbr$","C0041703",NULL,NULL,1550
"individual endpoints","C0027361;C0237401;C2349179",NULL,NULL,588
"normal renal function","C0232805",NULL,NULL,688
"ls mean change se","C0023668;C0036919;C0392747;C0443172;C0444504;C1705241;C2347634;C2348143;C4319952",NULL,NULL,567
"mean sd ldl c mg dl","C0439269;C0444504;C2347634;C2348143;C2699239",NULL,NULL,192
"budesonide no","C0054201","C0054201","",1160
"percutaneous transluminal coronary angioplasty","C2936173","C1532338","",1661
"fev $nmbr$ fvc at baseline randomization","C0034656;C0168634;C1442488;C3714541",NULL,NULL,1599
"stage $nmbr$ b $nmbr$ $nmbr$ ml min $nmbr$ $nmbr$ m $nmbr$","C0369637;C0439445;C0441781;C0441923",NULL,NULL,542
"vildagliptin $nmbr$ mg qd","C0024671;C0026410;C0332173;C0439269;C1570906;C1960952;C2346927;C4321396;C4521761","C1570906","",2068
"patients without","C0030705",NULL,NULL,1035
"sco ita rojs dvt pe","C0022277;C0070939;C0149871;C1880476;C2926618;C2986561;C3899446;C4284304",NULL,NULL,1516
"qualifying risk factor no","C0035648;C1514624",NULL,NULL,175
"upper abdominal pain","C0232492","C0232492","",2172
"gusto severe bleed","C0019080;C0205082;C4050465;C4050466",NULL,NULL,707
"racial category","C0034510;C0683312;C1706779;C3669213;C3853635;C3889287",NULL,NULL,562
"stage $nmbr$ cockcroft gault","C0205390;C1300072;C1306673",NULL,NULL,541
"ct","C0007673;C3540513;C3813556;C3888140",NULL,NULL,257
"other osteoporosis medication","C0013227;C0029456;C3244316;C4284232;C4554622",NULL,NULL,740
"number of concomitant aedsc","C0237753;C0449788;C0521115",NULL,NULL,1556
"factor v leiden or prothrombin mutation","C0380964;C0584960;C1414509;C1610621;C3542419",NULL,NULL,2019
"tiotropium $nmbr$ $nmbr$ pg","C0030827;C0072225;C0213771;C1266240","C0213771","",1372
"event total","C0439175;C0439810;C0441471;C4019010",NULL,NULL,412
"risedronate n n","C0246719",NULL,NULL,1573
"gold group","C0018026;C0441833;C0687744;C1257890;C1304897;C1519504;C1705428;C1705429","C0024117;C0521117","",213
"mean sd","C0444504;C2347634;C2348143;C2699239",NULL,NULL,37
"k mmol l","C0597277;C1532563;C1708601","C0302353","",1959
"favors favors lisinopril chlorthalidone","C0008294;C0065374;C0309049","C0008294","",70
"treated vessel s","C0005847;C1522326",NULL,NULL,743
"cardiomyopathy","C0878544",NULL,NULL,816
"triglycerides mean mg dl sd","C0041004;C0439269;C0444504;C2347634;C2348143;C2699239","C0041004","",368
"history of alcohol use","C0551571;C0552479",";C0001962","",1053
"alteplase group n $nmbr$","C0032143;C0441848",NULL,NULL,1594
"premixed insulin only","C0021641;C0205171;C1533581;C1579433;C1720467;C3714501",NULL,NULL,157
"swollen joints $nmbr$ n","C0152031",";C0451521","",1140
"bmi median sd kg m $nmbr$","C0549183;C0578022;C0876920;C1532718;C2347635;C2348144;C2699239;C2939193","C1305855","",1891
"apixaban $nmbr$ $nmbr$ mg","C0024671;C0026410;C0439269;C1831808;C1960952;C2346927;C4321396;C4521761","C1831808","",1224
"baseline gfr $nmbr$ ml min per $nmbr$ $nmbr$ m $nmbr$ n","C0017654;C0168634;C0369637;C0439445;C0441923;C1424601;C1442488","C3811844;C0017654","",592
"any vascular disease","C0042373",NULL,NULL,102
"esam ng ml","C0439275;C1424976",NULL,NULL,204
"ifrerence vs placebo $nmbr$ cl","C0032042;C0596019;C1696465;C1706408","C0032042","",28
"active cancer at randomization n","C0006826;C0034656;C0205177;C0998265;C1306459;C3853793;C3888249","C0006826","",1819
"angiotensin converting enzyme inhibitor angiotensin receptor blocker","C0003015;C0597357;C2757044;C3536837;C4541021","C0003015","",811
"self rated health status","C0018759;C0036588;C0871208;C1551994",NULL,NULL,325
"pack years","C1277691","C1277691","",1297
"umec $nmbr$ $nmbr$ mcg n $nmbr$","C0439211;C3463985",NULL,NULL,199
"fixed triple n $nmbr$","C0205174;C0443218;C2827483;C3714578",NULL,NULL,1201
"intensity of statin therapy","C0522510;C1278454","C0360714","",872
"low trauma fracture since age $nmbr$ n","C0001779;C0521170","C0001779","",480
"prior carotid intervention","C0184661;C0332152;C0741968;C0886296;C1273869;C2826257",NULL,NULL,290
"six minute walk distance m","C0012751;C0369637;C0441923;C3900196",NULL,NULL,923
"temporary discontinuation of study drug","C0013175;C0205374;C0457454;C1444662;C1548539;C3245481;C4552847",NULL,NULL,1731
"controls n $nmbr$","C0243148;C0369718;C0441922;C1550141;C1882979;C2587213;C3274648;C4553389",NULL,NULL,675
"history of mi n","C0019664;C0019665;C0262512;C0262926;C1705255;C2004062;C3810814",NULL,NULL,832
"pasi response by baseline weight no total no pasi $nmbr$","C0439175;C0439810;C0871261;C1303013;C1704632;C1706817;C2911692;C4528685",NULL,NULL,726
"dabigatran $nmbr$ mg bid events n y","C0024671;C0026410;C0439269;C0441471;C1960952;C2346927;C2348066;C3541888;C4321396;C4521761",NULL,NULL,775
"p value $nmbr$ vs $nmbr$ years","C0439234;C1709380",NULL,NULL,7
"ics users","C0815320;C1706077;C4551720","C3540778","",2182
"bl bmioo kg m","C0005918;C0006413;C1532718;C1552663;C2827109",NULL,NULL,655
"apo b mean sd","C0003593;C0444504;C2347634;C2348143;C2699239;C3252643",NULL,NULL,1910
"asthma duration sd years","C0004096;C0439234;C0449238;C2699239;C2926735;C2984299",NULL,NULL,1099
"pain mm","C0030193;C0518090;C1962977;C2984058;C4085210;C4085211;C4085212;C4330985;C4553004;C4554132;C4554674",NULL,NULL,297
"baseline ckd epi","C0162734;C0168634;C1442488;C1561643;C4281721","C1561643","",967
"no n $nmbr$","C0369718;C0441922",NULL,NULL,445
"pah mctd ctd other","C0026272;C0030123;C1335071;C1442905;C3203102;C4284467",NULL,NULL,1663
"cangrelor clopidogrel no of events total no","C0070166;C0439175;C0439810;C0441471;C1121991;C3541888","C1121991","",1247
"access site","C0589360",NULL,NULL,493
"indeterminate nfs $nmbr$ $nmbr$ nfs $nmbr$ $nmbr$ n $nmbr$","C0205258;C1513839",NULL,NULL,1086
"plp c mean sd mg dl","C0034266;C0439269;C0444504;C1175541;C1257874;C1705623;C2347634;C2348143;C2699239",NULL,NULL,37
"mean body weight sd kg","C0005910;C0022718;C0439209;C0444504;C1305866;C2347634;C2348143;C2699239;C4054209",NULL,NULL,2326
"chd primary outcome","C0205225;C0280604;C0439612;C0439631;C1274040;C3542407",NULL,NULL,2339
"dose of aspirin","C4696290","C0004057","",1366
"hb decrease $nmbr$ g dl","C0019046;C0392756;C0439267;C0547047;C3642216;C3843510",NULL,NULL,1486
"glycosylated hemoglobin","C0017853","","",1176
"all cause death stroke see","C0011065;C0015127;C0038454;C0042789;C1306577;C1524003;C1947903;C4082313;C4552775;C4554100",NULL,NULL,1855
"pasi mean sd","C0444504;C2347634;C2348143;C2699239;C4528685",NULL,NULL,37
"etoricoxib group n $nmbr$ $nmbr$","C0441848;C0972314","C0972314","",1130
"use of beta blockers","C0001645;C1524063","C0001645","",959
"change in sbp","C0085805;C0392747;C0443172;C1705241;C4319952",NULL,NULL,607
"patients with enthesitis lei $nmbr$","C0023401;C0030705;C0428209;C1282952",NULL,NULL,526
"heart failure no total no","C0018801;C0018802;C0439175;C0439810;C4554158","C0018801",";C0168634;C1524003",12
"local eosinophil count cells l median range","C0200638;C0205276;C0347983;C0549183;C0750879;C0876920;C1514721;C2347635;C2348144;C2348147;C2939193;C3542016","C0750879","",848
"characteristics of the index ml","C0439526;C0600653;C0918012;C1521970;C1552854;C1637833;C1705224;C2986546;C3887665",NULL,NULL,300
"placebo mtx","C0025677;C0032042;C1417487;C1696465;C1706408","C0032042","",28
"diabetic subjects n $nmbr$","C0241863;C0681850;C1550501;C1706203;C2349001;C2697811",NULL,NULL,1655
"blood pressure lowering treatment","C0005823;C0033095;C0039798;C0087111;C0441994;C0460139;C0596197;C1271104;C1272641;C1306345;C1522326;C1533734;C1705169;C2003888;C3538994;C3887704;C4284008","C0005823","",15
"full analysis set","C0002778;C0036849;C0443225;C0936012;C1442518;C1524024;C1705195",NULL,NULL,183
"current atrial fibrillation or flutter on ecg","C0004238;C0016385;C0344434;C0521116;C1623258;C1705970;C1963067;C2242390",";C0004238","",1009
"only coronary artery disease","C0010054;C0010068;C0205171;C1720467;C1956346","C0010068;C1956346",";C0026410;C1710701",226
"hormonal therapy no","C0279025",NULL,NULL,558
"systolic blood pressure mm hg mean sd","C0039155;C0428886;C0439475;C0444504;C0488055;C0871470;C1306620;C2347634;C2348143;C2699239","C0005823","",1469
"ipss qol","C0518214;C1019118;C1998280;C2827405;C3811063","C0034380","",1116
"hypertension requiring medical treatment","C0020538;C0679624;C1963138",NULL,NULL,725
"peri or postmenopausal","C0232970;C0347985","C0232970","",1041
"major cardiovascular","C0007226;C0205082;C0205164;C3887460;C4318856;C4521762","C1320716;C0205082","",2077
"$nmbr$ $nmbr$ yr","C0439234",NULL,NULL,1099
"age y meantsd","C0001779","C0001779","",480
"baseline statin usec","C0168634;C0360714;C0439224;C1442488","C0360714","",872
"no chd eze simva","C0280604;C3542407",NULL,NULL,970
"angiographic findings","C0002978;C2607943;C2926606;C3539655",NULL,NULL,1723
"linagliptin n $nmbr$","C2746078","C2746078","",1185
"first co primary","C0205225;C0205435;C0439612;C0439631;C1279901;C3245499",NULL,NULL,2339
"pre menopausal without hormone replacement","C0206158;C0282402",NULL,NULL,549
"m being","C0369637;C0441923",NULL,NULL,923
"previous oral glucose lowering agents of patients","C0205156;C0441994;C0600419;C1552607;C1955477;C2003888",NULL,NULL,14
"history","C0019664;C0019665;C0262512;C0262926;C1705255;C2004062",NULL,NULL,832
"controlled acq $nmbr$ $nmbr$ $nmbr$","C2587213;C2911690;C2919686",NULL,NULL,675
"drugs used in diabetes","C0011847;C0011849;C0013227;C1273517;C3687832","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"no patients","C0030705",NULL,NULL,1035
"simvastatin n $nmbr$","C0074554","C0074554","",1840
"received antihypertensive within last $nmbr$ days n","C0003364;C0439228;C1514756",";C0003364","",1579
"qrs $nmbr$ ms n","C2349943;C3539704;C3713294",NULL,NULL,126
"presence of angioedema at baseline","C0002994;C0150312;C0168634;C0392148;C1442488;C3854307",NULL,NULL,2366
"fracture during follow up","C0016658;C0589120;C1522577;C1704685;C3274571",NULL,NULL,1584
"non black participants","C0005680;C0027567;C0085756;C0439541;C0679646;C1518422","C0005680",";C1706779",188
"parameter statistics","C0681933",NULL,NULL,181
"diuretic therapy","C0948575",NULL,NULL,556
"bonferroni adjusted p value d vs a","C1709380;C1879894",NULL,NULL,7
"weight in kg median iqr","C0005910;C0022718;C0043100;C0439209;C0549183;C0876920;C1305866;C1705104;C2347635;C2348144;C2939193;C4054209","C0005910","",1250
"msfc timed $nmbr$ foot walk test","C0016504;C0347981;C0392761;C2346504;C2348613;C2348704;C4277740",NULL,NULL,249
"week $nmbr$ mayo endoscopy subscorea","C0014245;C0332174;C0439230;C0454788;C1077578",NULL,NULL,425
"ezetimibe simvastatin group","C0441833;C0687744;C1257890;C1519504;C1532737;C1705428;C1705429",NULL,NULL,1526
"triglycerides $nmbr$ $nmbr$ mmol l","C0041004;C1532563","C0041004","",368
"prior cardiovascular event no j","C0332152;C1320716;C2826257",NULL,NULL,2378
"exacerbations requiring oral steroids antibiotics past year","C0003232;C0003237;C0038317;C0442027;C3540704;C3540705;C3540706;C3540707;C3540708;C3540709;C3540710;C4086268;C4086728;C4521986",NULL,NULL,1654
"itch nrs $nmbr$ $nmbr$ at $nmbr$","C0033774;C1422257;C2240043;C4050142","C0033774;C4050142","",1362
"diabetes mellitus","C0011849","C0011849",";C1704656;C3687832;C1705970;C4285062;C1079230;C0449450;C3250443;C0021966;C0221138;C0369718;C0441922;C0684224",909
"no with visit","C0545082;C1512346;C2826704",NULL,NULL,276
"did not meet atopy and ige $nmbr$ $nmbr$ ku lcriteriaa n $nmbr$ $nmbr$","C0022804;C0392707;C1337080;C1518422;C1532717;C1550543;C1881335;C3539705",NULL,NULL,1729
"former or never diabetes","C0011847;C0011849;C0205156;C0750523;C2003901",NULL,NULL,13
"clinical efficacy at week $nmbr$","C0087113;C0332174;C0439230",NULL,NULL,1012
"airflow reversibility no","C0231999;C0449261","C0449261;C0231999","",1315
"mtx $nmbr$ mg week","C0024671;C0025677;C0026410;C0332174;C0439230;C0439269;C1417487;C1960952;C2346927;C4321396;C4521761","C0025677","",716
"eosinophils","C0014467;C0200638","C0014467","",849
"patients with microalbuminuria at baseline","C0030705;C0168634;C0730345;C1442488","C0033687","",376
"heart failure hospitalized or fatal","C0018801;C0018802;C0701159;C1302234;C1705232;C4554158","C0018801",";C0168634;C1524003",12
"type of event","C1561488",NULL,NULL,604
"with ics n","C0815320;C4551720","C3540778","",2182
"insulin naive n","C0021641;C1533581;C1579433;C3714501",NULL,NULL,157
"length of stay randomization to discharge h","C0012621;C0023303;C0030685;C0033727;C0034656;C0040363;C0041260;C0369286;C0441932;C0564385;C1883351;C2926602;C4528284",NULL,NULL,431
"mean number of antihypertensive medications at $nmbr$ year","C0003364;C0439234;C0439508;C0444504;C1718138;C2347634;C2348143",";C0003364","",1579
"third primary change in updrs score wk wk $nmbr$ $nmbr$","C0205225;C0205437;C0332174;C0392747;C0439230;C0439612;C0439631;C0443172;C0449820;C1705241;C3639721;C4050231;C4319952",NULL,NULL,229
