docid_page,row,col,value,baseline_level_1,arms,subgroup_name,outcomes,subgroup_name;p-interaction,measures;arms,arms;measures,measures,subgroup_level,arms;p-interaction;other,arms;measures;p-interaction,arms;other
29151034_5,2,4,52 (2.4),NA,NA,NA,"ALT, AST, or both >3x ULN",NA,NA,NA,NA,Women,NA,Ezetimibe/Simvastatin,NA
29151034_5,2,5,0.92,NA,NA,NA,"ALT, AST, or both >3x ULN",NA,NA,NA,NA,Women,NA,P Value*,NA
29151034_5,2,6,0.82,NA,NA,NA,"ALT, AST, or both >3x ULN",NA,NA,NA,NA,Women,NA,Pin/,NA
29151034_5,3,3,143 (2.1),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Placebo/Simvastatin,NA
29151034_5,3,4,153 (2.3),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Ezetimibe/Simvastatin,NA
29151034_5,3,5,0.56,NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,P Value*,NA
29151034_5,4,3,72 (3.4),NA,NA,NA,Gallbladder-related AEs,NA,NA,NA,NA,Women,NA,Placebo/Simvastatin,NA
29151034_5,4,4,63 (2.9),NA,NA,NA,Gallbladder-related AEs,NA,NA,NA,NA,Women,NA,Ezetimibe/Simvastatin,NA
29151034_5,4,5,0.38,NA,NA,NA,Gallbladder-related AEs,NA,NA,NA,NA,Women,NA,P Value*,NA
29151034_5,4,6,0.93,NA,NA,NA,Gallbladder-related AEs,NA,NA,NA,NA,Women,NA,Pin/,NA
29151034_5,5,3,180 (2.7),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Placebo/Simvastatin,NA
29151034_5,5,4,151 (2.3),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Ezetimibe/Simvastatin,NA
29151034_5,5,5,0.13,NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,P Value*,NA
29151034_5,6,3,10 (0.5),NA,NA,NA,Rhabdomyolysis,NA,NA,NA,NA,Women,NA,Placebo/Simvastatin,NA
29151034_5,6,4,4 (0.2),NA,NA,NA,Rhabdomyolysis,NA,NA,NA,NA,Women,NA,Ezetimibe/Simvastatin,NA
29151034_5,6,5,0.12,NA,NA,NA,Rhabdomyolysis,NA,NA,NA,NA,Women,NA,P Value*,NA
29151034_5,6,6,0.22,NA,NA,NA,Rhabdomyolysis,NA,NA,NA,NA,Women,NA,Pin/,NA
29151034_5,7,3,8 (0.1),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Placebo/Simvastatin,NA
29151034_5,7,4,8 (0.1),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Ezetimibe/Simvastatin,NA
29151034_5,7,5,>0.99,NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,P Value*,NA
29151034_5,8,3,4 (0.2),NA,NA,NA,Myopathy,NA,NA,NA,NA,Women,NA,Placebo/Simvastatin,NA
29151034_5,8,4,5 (0.2),NA,NA,NA,Myopathy,NA,NA,NA,NA,Women,NA,Ezetimibe/Simvastatin,NA
29151034_5,8,5,"NA",NA,NA,NA,Myopathy,NA,NA,NA,NA,Women,NA,P Value*,NA
29151034_5,8,6,0.76,NA,NA,NA,Myopathy,NA,NA,NA,NA,Women,NA,Pin/,NA
29151034_5,9,3,5 (0.1),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Placebo/Simvastatin,NA
29151034_5,9,4,8 (0.1),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Ezetimibe/Simvastatin,NA
29151034_5,9,5,0.42,NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,P Value*,NA
29151034_5,10,3,21 (1.0),NA,NA,NA,"Rhabdomyolysis, myopathy, or myalgia with CK elevation >5x ULN",NA,NA,NA,NA,Women,NA,Placebo/Simvastatin,NA
29151034_5,10,4,12 (0.6),NA,NA,NA,"Rhabdomyolysis, myopathy, or myalgia with CK elevation >5x ULN",NA,NA,NA,NA,Women,NA,Ezetimibe/Simvastatin,NA
29151034_5,10,5,0.12,NA,NA,NA,"Rhabdomyolysis, myopathy, or myalgia with CK elevation >5x ULN",NA,NA,NA,NA,Women,NA,P Value*,NA
29151034_5,10,6,0.16,NA,NA,NA,"Rhabdomyolysis, myopathy, or myalgia with CK elevation >5x ULN",NA,NA,NA,NA,Women,NA,Pin/,NA
29151034_5,11,3,34 (0.5),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Placebo/Simvastatin,NA
29151034_5,11,4,35 (0.5),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Ezetimibe/Simvastatin,NA
29151034_5,11,5,0.90,NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,P Value*,NA
29151034_5,12,3,102 (4.8),NA,NA,NA,Cancer,NA,NA,NA,NA,Women,NA,Placebo/Simvastatin,NA
29151034_5,12,4,111 (5.1),NA,NA,NA,Cancer,NA,NA,NA,NA,Women,NA,Ezetimibe/Simvastatin,NA
29151034_5,12,5,0.62,NA,NA,NA,Cancer,NA,NA,NA,NA,Women,NA,P Value*,NA
29151034_5,12,6,0.41,NA,NA,NA,Cancer,NA,NA,NA,NA,Women,NA,Pin/,NA
29151034_5,13,3,453 (6.7),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Placebo/Simvastatin,NA
29151034_5,13,4,454 (6.8),NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,Ezetimibe/Simvastatin,NA
29151034_5,13,5,0.92,NA,NA,NA,NA,NA,NA,NA,NA,Men,NA,P Value*,NA
29299340_1,3,2,51.0 (12.5),"Age (years), mean (SD)","PBO, n=69",cDMARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,3,3,49.1 (10.0),"Age (years), mean (SD)","IXEQ4W, n=68",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,3,4,49.3 (12.8),"Age (years), mean (SD)","IXEQ2W, n=63",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,3,5,51.3 (12.8),"Age (years), mean (SD)","PBO, n=59",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,3,6,49.9 (10.3),"Age (years), mean (SD)","IXEQ4W, n=57",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,3,7,50.1 (12.7),"Age (years), mean (SD)","IXEQ2W, n=53",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,3,8,49.9 (12.1),"Age (years), mean (SD)","PBO, n=37",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,3,9,49.1 (10.4),"Age (years), mean (SD)","IXEQ4W, n=39",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,3,10,50.5 (12.4),"Age (years), mean (SD)","IXEQ2W, n=40",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,2,32 (46.4),"Male, n (%)","PBO, n=69",cDMARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,3,29 (42.6),"Male, n (%)","IXEQ4W, n=68",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,4,27 (42.9),"Male, n (%)","IXEQ2W, n=63",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,5,25 (42.4),"Male, n (%)","PBO, n=59",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,6,24 (42.1),"Male, n (%)","IXEQ4W, n=57",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,7,23 (43.4),"Male, n (%)","IXEQ2W, n=53",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,8,16 (43.2),"Male, n (%)","PBO, n=37",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,9,16 (41.0),"Male, n (%)","IXEQ4W, n=39",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,4,10,21 (52.5),"Male, n (%)","IXEQ2W, n=40",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,2,84.8 (19.7),"Weight (kg), mean (SD)","PBO, n=69",cDMARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,3,83.5 (19.5),"Weight (kg), mean (SD)","IXEQ4W, n=68",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,4,81.0 (16.7),"Weight (kg), mean (SD)","IXEQ2W, n=63",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,5,84.87 (20.1),"Weight (kg), mean (SD)","PBO, n=59",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,6,84.58 (20.0),"Weight (kg), mean (SD)","IXEQ4W, n=57",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,7,81.88 (15.8),"Weight (kg), mean (SD)","IXEQ2W, n=53",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,8,81.8 (19.6),"Weight (kg), mean (SD)","PBO, n=37",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,9,88.9 (28.0),"Weight (kg), mean (SD)","IXEQ4W, n=39",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,5,10,82.6 (18.8),"Weight (kg), mean (SD)","IXEQ2W, n=40",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,2,6.1 (7.4),"Time since PsA diagnosis (years), mean (SD)","PBO, n=69",cDMARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,3,5.6 (5.8),"Time since PsA diagnosis (years), mean (SD)","IXEQ4W, n=68",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,4,7.4 (7.4),"Time since PsA diagnosis (years), mean (SD)","IXEQ2W, n=63",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,5,6.1 (7.6),"Time since PsA diagnosis (years), mean (SD)","PBO, n=59",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,6,5.1 (5.3),"Time since PsA diagnosis (years), mean (SD)","IXEQ4W, n=57",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,7,7.8 (7.8),"Time since PsA diagnosis (years), mean (SD)","IXEQ2W, n=53",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,8,6.8 (5.8),"Time since PsA diagnosis (years), mean (SD)","PBO, n=37",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,9,7.3 (7.3),"Time since PsA diagnosis (years), mean (SD)","IXEQ4W, n=39",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,6,10,7.0 (9.1),"Time since PsA diagnosis (years), mean (SD)","IXEQ2W, n=40",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,2,19.5 (12.8),"Tender joint count (68 joints), mean (SD)","PBO, n=69",cDMARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,3,20.6 (13.3),"Tender joint count (68 joints), mean (SD)","IXEQ4W, n=68",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,4,21.4 (15.1),"Tender joint count (68 joints), mean (SD)","IXEQ2W, n=63",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,5,20.6 (13.4),"Tender joint count (68 joints), mean (SD)","PBO, n=59",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,6,20.5 (13.8),"Tender joint count (68 joints), mean (SD)","IXEQ4W, n=57",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,7,21.1 (15.6),"Tender joint count (68 joints), mean (SD)","IXEQ2W, n=53",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,8,18.6 (13.4),"Tender joint count (68 joints), mean (SD)","PBO, n=37",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,9,20.3 (14.4),"Tender joint count (68 joints), mean (SD)","IXEQ4W, n=39",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,7,10,21.8 (12.4),"Tender joint count (68 joints), mean (SD)","IXEQ2W, n=40",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,2,10.9 (7.7),"Swollen joint count (66 joints), mean (SD)","PBO, n=69",cDMARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,3,10.8 (7.4),"Swollen joint count (66 joints), mean (SD)","IXEQ4W, n=68",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,4,11.8 (7.6),"Swollen joint count (66 joints), mean (SD)","IXEQ2W, n=63",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,5,11.3 (8.1),"Swollen joint count (66 joints), mean (SD)","PBO, n=59",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,6,10.8 (7.9),"Swollen joint count (66 joints), mean (SD)","IXEQ4W, n=57",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,7,11.4 (6.0),"Swollen joint count (66 joints), mean (SD)","IXEQ2W, n=53",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,8,10.1 (6.4),"Swollen joint count (66 joints), mean (SD)","PBO, n=37",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,9,12.6 (9.4),"Swollen joint count (66 joints), mean (SD)","IXEQ4W, n=39",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,8,10,12.5 (6.7),"Swollen joint count (66 joints), mean (SD)","IXEQ2W, n=40",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,2,1.19 (0.60),"HAQ-DI total score, mean (SD)","PBO, n=69",cDMARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,3,1.25 (0.54),"HAQ-DI total score, mean (SD)","IXEQ4W, n=68",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,4,1.23 (0.55),"HAQ-DI total score, mean (SD)","IXEQ2W, n=63",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,5,1.21 (0.60),"HAQ-DI total score, mean (SD)","PBO, n=59",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,6,1.21 (0.53),"HAQ-DI total score, mean (SD)","IXEQ4W, n=57",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,7,1.25 (0.57),"HAQ-DI total score, mean (SD)","IXEQ2W, n=53",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,8,1.09 (0.62),"HAQ-DI total score, mean (SD)","PBO, n=37",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,9,1.22 (0.56),"HAQ-DI total score, mean (SD)","IXEQ4W, n=39",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,9,10,1.09 (0.59),"HAQ-DI total score, mean (SD)","IXEQ2W, n=40",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,2,18.9 (32.2),"van der Heijde mTSS, mean (SD)","PBO, n=69",cDMARD,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,3,21.2 (36.9),"van der Heijde mTSS, mean (SD)","IXEQ4W, n=68",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,4,17.3 (32.7),"van der Heijde mTSS, mean (SD)","IXEQ2W, n=63",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,5,17 (28.6),"van der Heijde mTSS, mean (SD)","PBO, n=59",MTX,NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,6,21 (38.4),"van der Heijde mTSS, mean (SD)","IXEQ4W, n=57",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,7,19.2 (35.2),"van der Heijde mTSS, mean (SD)","IXEQ2W, n=53",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,8,15.3 (21.6),"van der Heijde mTSS, mean (SD)","PBO, n=37",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,9,15.7 (23.9),"van der Heijde mTSS, mean (SD)","IXEQ4W, n=39",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29299340_1,10,10,11.9 (21.4),"van der Heijde mTSS, mean (SD)","IXEQ2W, n=40",None (cDMARD-naive or past use at baseline),NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,1,2,Open-label population,NA,ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,1,3,Randomize,NA,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,1,4,d population,NA,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,3,2,48.4 (11.9),"Age, years",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,3,3,48.1 (12.0),"Age, years",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,3,5,46.4 (12.2),"Age, years",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,3,7,48.3 (12.2),"Age, years",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,4,2,694 (83.2),"Female, n (%)",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,4,3,164 (81.2),"Female, n (%)",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,4,5,157 (77.7),"Female, n (%)",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,4,7,167 (83.5),"Female, n (%)",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,5,2,158 (18.9),"Prior tobacco use, n (%)",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,5,3,42 (20.8),"Prior tobacco use, n (%)",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,5,5,31 (15.4),"Prior tobacco use, n (%)",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,5,7,39 (19.5),"Prior tobacco use, n (%)",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,6,2,6.9 (7.0),"Disease duration, years",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,6,3,6.8 (7.2),"Disease duration, years",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,6,5,6.4 (7.1),"Disease duration, years",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,6,7,7.3 (6.7),"Disease duration, years",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,7,2,642 (77.6),"ACPA positive, n (%)",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,7,3,161 (80.1),"ACPA positive, n (%)",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,7,5,156 (77.6),"ACPA positive, n (%)",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,7,7,156 (78.8),"ACPA positive, n (%)",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,8,2,603 (72.7),"RF positive, n (%)",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,8,3,147 (73.1),"RF positive, n (%)",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,8,5,142 (70.7),"RF positive, n (%)",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,8,7,147 (74.2),"RF positive, n (%)",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,9,2,ETN 50 mg + MTX N = 834,Clinical and patient-reported characteristics at baseline and randomization,ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,9,3,ETN 50 mg + MTX n = 201,Clinical and patient-reported characteristics at baseline and randomization,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,9,5,ETN 25 mg + MTX n = 201,Clinical and patient-reported characteristics at baseline and randomization,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,9,7,MTX n = 197,Clinical and patient-reported characteristics at baseline and randomization,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,10,2,Week 0,NA,ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,10,3,Week 0,NA,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,10,4,Week 36,NA,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,10,5,Week 0,NA,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,10,6,Week 36,NA,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,10,7,Week 0,NA,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,10,8,Week 36,NA,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,11,2,4.4 (0.4),DAS28,ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,11,3,4.3 (0.5),DAS28,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,11,4,2.0 (0.6),DAS28,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,11,5,4.4 (0.4),DAS28,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,11,6,2.1 (0.6),DAS28,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,11,7,4.3 (0.4),DAS28,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,11,8,2.1 (0.6),DAS28,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,12,2,19.1 (5.1),SDAI,ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,12,3,18.7 (4.8),SDAI,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,12,4,4.7 (3.6),SDAI,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,12,5,19.2 (5.1),SDAI,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,12,6,4.8 (3.2),SDAI,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,12,7,18.8 (5.4),SDAI,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,12,8,4.8 (3.2),SDAI,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,13,2,17.8 (5.0),CDAI,ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,13,3,17.5 (4.6),CDAI,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,13,4,4.1 (3.5),CDAI,ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,13,5,17.9 (5.0),CDAI,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,13,6,4.2 (3.2),CDAI,ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,13,7,17.8 (5.3),CDAI,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,13,8,4.3 (3.2),CDAI,MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,14,2,5.1 (2.9),"TJC, 0-28",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,14,3,4.7 (2.7),"TJC, 0-28",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,14,4,0.6 (1.2),"TJC, 0-28",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,14,5,5.2 (2.9),"TJC, 0-28",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,14,6,0.7 (1.3),"TJC, 0-28",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,14,7,5.1 (2.9),"TJC, 0-28",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,14,8,0.7 (1.2),"TJC, 0-28",MTX n = 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,15,2,3.8 (2.6),"SJC, 0-28",ETN 50 mg + MTX N = 834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,15,3,3.9 (2.7),"SJC, 0-28",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,15,4,0.6 (1.5),"SJC, 0-28",ETN 50 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,15,5,3.8 (2.6),"SJC, 0-28",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29338762_1,15,6,0.6 (1.2),"SJC, 0-28",ETN 25 mg + MTX n = 202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
