,concept,cluster
1744,characteristics of pulmonary embolism at inclusion,-1
516,measurements,-1
517,antithrombotic / coagulant,-1
536,heart disease risk factors,-1
1724,dlqi  nmbr - nmbr *,-1
1707,demographic characteristics,-1
529,phenytoin,-1
1709,subset of patients on metformin,-1
527,montelukast ( n = nmbr ),-1
1711,congenital shunts,-1
526,procedure,-1
1713,methotrexate dose at baseline,-1
524,i & ii : fevnmbr > nmbr % predicted,-1
1715,mesothelin ( ng / ml ),-1
1716,non - smoker ( n = nmbr  nmbr ),-1
1717,amlodipine / valsartan nmbr / nmbr mg / v = nmbr,-1
523,anti - inflammatory drugs,-1
1719,past or current angina pectoris,-1
1720,history of peripheral vascular disease,-1
520,b digit symbol substitution  omega - nmbr fatty acids vs placebo,-1
518,myocardial infarction within the previous nmbr yr,-1
1723,lipid - lowering therapy,-1
292,baseline dyspnea index  mean total score,-1
1831,alpha nmbr blockers,-1
1832,moderate dysfunction,-1
88,medication taken alone or in combination,-1
115,detemir / insulin glargine  %,-1
1940,overall quality of life,-1
113,haemorrhagic,-1
101,benralizumab nmbr mg qnmbrw ( n = nmbr ),-1
94,wml load at follow - up mri,-1
93,absolute  litres,-1
1945,urinary albumin : creatinine ratio ( pg / mg )  median ( iqr ),-1
91,bare metal stent  n ( % ),-1
87,angiotensin - converting enzyme inhibitors / angiotensin receptor blockers,-1
1833,tnf - rnmbra ( ng / ml ),-1
1949,nihss at randomization  nmbr - nmbr,-1
1950,cilostazol,-1
82,cardiovascular history,-1
80,dyspnoea - mmrc grade  n ( % ),-1
78,ntpro - cnp ( ng / ml ),-1
76,varespladib ( n = nmbr ),-1
75,implantable cardioverter - defibrillator,-1
1956,absolute change,-1
1938,titre ( u / ml ) t,-1
118,coronary revascularization nmbr days after randomization,-1
119,sacubitril / valsartan,-1
121,paracetamol,-1
1918,extreme tortuosity,-1
140,prior myocardial infarction,-1
137,health habits,-1
1921,geographic distribution - no . ( % ),-1
1922,conventional synthetic dmard use at baseline,-1
1923,at six weeks,-1
136,right coronary,-1
135,cholesterol  ( . nmbr . nmbr mmol / l )  n ( % ),-1
134,bypass surgery,-1
133,crude analysis  n ( % ),-1
132,metabolic syndromenmbr baseline lipids  mg / dl,-1
131,rasagiline  nmbr mg / day,-1
1930,third primary ( change in updrs score / wk  wk nmbr - nmbr ),-1
1931,implanted pacemaker,-1
130,toast classification of qualifying stroke,-1
127,draining cutaneous fistula at baseline  n ( % ),-1
1934,ret / abx - facil . pci,-1
69,invasive,-1
1958,low eosinophil subgroup (  nmbr / ml ) ( n = nmbr ),-1
1959,alaska native,-1
1980,deep - vein thrombosis ( % ),-1
1982,greater than or equal to nmbr ml / min / nmbr . nmbrmnmbr,-1
28,indian ( indian subcontinent ),-1
26,cyclosporine ( n = nmbr ),-1
25,abdominal or perianal fistula at baseline  n ( % ),-1
22,number of patients with,-1
20,argentina,-1
19,emphysema ( % ),-1
17,nmbrth - nmbrth percentiles,-1
1990,diagnosis of heterozygous familial hypercholester,-1
16,relative decrease > nmbr %,-1
12,subarachnoid hemorrhage,-1
11,second prior mi,-1
1994,other vasodilator,-1
1995,maintenance dose,-1
8,pre - randomization pci,-1
1997,perfusion defectsatinclusion,-1
3,temporary discontinuation of study drug,-1
1981,cardiovascu lar subg roup,-1
35,single - vessel disease  n ( % ),-1
67,latin america hr ( nmbr % cl ),-1
1978,pulse pressure,-1
66,bnp  median ( iqr )  pg / ml,-1
58,seizure types reported during baseline  n ( % ) a,-1
1963,bivalirudin,-1
1964,two arm,-1
1965,any blood pressure medications ( % ),-1
56,crcl at baseline < nmbr ml / min,-1
53,mepolizumab  nmbr mg ( n = nmbr ),-1
51,trend / het . test,-1
1969,calcium channel,-1
1970,no regular consumption,-1
48,secukinumab,-1
43,serum uric acid ( mg / dl ),-1
42,azathioprine ( n = nmbr ),-1
39,fatigue,-1
36,pad lower extremities,-1
1976,post - fibrinolysis angioplasty ( n = nmbr ),-1
1977,aerobic activity,-1
1917,irregular or ulcerated ica p ) laque : [ :,-1
144,diastolic blood pressure ( mm hg ) medications,-1
149,known duration of diabetes  yr,-1
253,severe dysfunction,-1
252,negative,-1
248,radial access,-1
247,lm bifurcation not treated,-1
1858,any new anti - hyperglycemic rx,-1
246,time to admission  min,-1
239,decreased appetite,-1
237,positive,-1
235,dipyridamole,-1
232,py = nmbr . nmbr ),-1
230,endothelin nmbr ( pg / ml ),-1
229,visit nmbr ldl cholesterol strata,-1
1866,ischemia on cecg ( n = nmbr  nmbr ),-1
1867,ularitide n / n ( % ),-1
227,psap - b ( ng / ml ),-1
1869,moderately high risk without atherosclerotic vascular disease *,-1
226,stool frequency subscore,-1
224,diabetes mellitus status,-1
1854,arterial blood pressure  mm hg,-1
255,aggressive ( n = nmbr ),-1
221,pancolitis,-1
256,aldosterone blocker  %,-1
1834,jejunum,-1
289,timi major / minor,-1
288,acpa positive  %,-1
285,oral medications,-1
284,anti - ccp antibody positive,-1
1839,diastolic fmmhff ' ),-1
278,nyha class nmbr - nmbr : no { n = llll ),-1
274,lev status  n ( % ),-1
1842,plaque score ( nmbr - nmbr ),-1
273,canakinumab,-1
272,dihydropyridine,-1
270,formoterol nmbr gg bid,-1
265,chondroitin sulfate ( n = nmbr ),-1
260,headache,-1
259,intraperitoneal,-1
1849,dronedarone ( n = nmbr ),-1
257,> nmbrmg / dl chd status,-1
222,death from any cause,-1
212,left ventricular hypertrophy ( % ),-1
154,gly nmbr . nmbr gg b . i . d n / n ( % ),-1
1895,symptoms of atrial fibrillation in the nmbr months before randomiza -,-1
1897,tiotropium / olodaterol nmbr / nmbr mg ( n = nmbr ),-1
180,grip strength ( kg ),-1
1899,rerapamil - sr strategy ( n = nmbr ),-1
179,blood urea nitrogen ( mg / dl ),-1
1901,valve surgery  n ( % ),-1
175,cigarette users,-1
169,diskus only  n,-1
1904,penetrating disease  %,-1
166,ethnicity ( % ),-1
165,intestinal area involved  n ( % ) $,-1
1907,potassium supplement,-1
1908,age group,-1
161,history of hyperlipidemia ( % ),-1
1910,platelet count  x nmbr mmnmbr,-1
1911,other supraventricular tachycardia,-1
160,cognitive functioning,-1
156,unfractionated heparin before randomisation,-1
1896,perindopril,-1
182,psychosocial risk factors,-1
1875,carotid artery diseaset,-1
183,bursitis,-1
211,calcium - channel blocker ( ratelowering ),-1
1877,daily activities,-1
210,physician ' s judgment that vka,-1
207,patent foramen ovale,-1
203,serious ae,-1
1881,traditional nsaid use,-1
202,full analysis set,-1
197,microvascular eye diseased,-1
1884,pro / pro homozygotes,-1
1885,sulfasalazine ( mean dose : nmbr . nmbr g / day ),-1
191,pain vas  nmbr - nmbr mm,-1
187,digital clubbing  n ( % ),-1
1888,pe associated with dvt at diagnosis,-1
185,family history ol diabetes ?,-1
1890,renal function < nmbr egfr  ml / min / nmbr . nmbr mnmbr,-1
1891,blood eosinophil concentration  nmbr cells per l,-1
1892,less severenmbr,-1
620,heterogeneity / trend test,-1
627,csf nmbrs - hydroxy -,-1
1310,scr  gmol / l,-1
1439,min  max,-1
1107,sglt - nmbr inhibitors^,-1
1104,only peripheral artery disease,-1
1433,control baseline ( n - nmbr ),-1
1102,heavy calcification,-1
1100,intent of early invasive strategy  %,-1
1436,fibrinolytic for qualifying event,-1
1095,thoracic cage fractures,-1
1094,vomiting,-1
1090,class l / ll heart failure,-1
1147,limb ( sd ),-1
1441,ctn - l  ng / ml,-1
1089,beta - adrenergic blocker,-1
1084,sbp < nmbr mmhg and dbp < nmbr mmhg,-1
1444,highest tg tertile,-1
1445,days of study - drug administration ( % ) * * nmbr day,-1
1082,dpp - nmbr inhibitor therapy,-1
1079,time from onset of pain to randomization  median ( iqr )  h,-1
1078,health state index score  uk algorithm,-1
1112,left anterior descending artery  n ( % ),-1
1113,albuterol reversibility  %,-1
1115,anyantianginal agent,-1
1427,des ( % previous stenting ),-1
1141,terminal ileum,-1
1136,elevated creatinine ( > nmbr pmol / l ),-1
1131,rosiglitazone,-1
1128,lp ( a )  mean ( sd ),-1
1414,gpiib / iiia receptor inhibitor,-1
1127,black race,-1
1416,supine after nmbr minutes change from baseline,-1
1126,ldl cholesterol at baseline ( mmol / l ) * ldl cholesterol at screening,-1
1123,subgroup by treatment interaction p - value,-1
1122,cardiac history  %,-1
1121,any cardiovascular disease history  n ( % ),-1
1421,right ventriculardysfunction atinclusion,-1
1422,micro - / macro - albuminuria  ckd and / or retinopathy,-1
1423,interaction : treatment by psoriasis p valuenmbr,-1
1119,risk factors  %,-1
1425,any aes  n ( % ),-1
1118,health - related quality of life,-1
1077,epa / aa ratio,-1
1075,triple - vessel disease  n ( % ),-1
1451,any immunosuppressive agent,-1
1025,left bundle - branch block,-1
1024,asia - pacific hr ( nmbr % cl ),-1
1021,aldosterone inhibitor,-1
1019,joint damage outcomes ( mitt population ),-1
1018,normal fasting glucose level ( n = nmbr ),-1
1478,arthritis,-1
1479,extensive,-1
1017,involved intestinal area  n ( % ),-1
1481,lv hypertrophy  n ( % ),-1
1012,carotid stenosis,-1
1007,emotional well - being,-1
1484,pain ( nmbr - nmbr mm vas ),-1
1005,mucolytic agent,-1
1004,angina class iii or iv prior myocardial infarction,-1
1002,hdl < nmbr / nmbr mg / dl ( nmbr . nmbr / nmbr . nmbr mmol / l ) for men / women,-1
999,thrombocytopenia,-1
998,tiotropium nmbr gg qd,-1
997,formal education  years,-1
1473,small vessel,-1
1034,free fatty acids ( mmol / l ),-1
1074,mixed chronic bronchitis and emphysema,-1
1037,angiogenin ( ng / ml ),-1
1453,increased waist circumference,-1
1454,cross - damp time : < l : llhrs : min ( n = nmbr ),-1
1072,mdi / hfa  n,-1
1068,mean platelet volume  fl,-1
1457,metrex overall modified intention - to - treat population ? :,-1
1458,cor revasc,-1
1061,tim nmbr nsk score,-1
1460,adl subscale ( range  nmbr - nmbr ) *,-1
1055,community hospital ( % ),-1
1462,enthesitis count,-1
1051,filtration rate nmbr - nmbr,-1
1464,history of alcohol use,-1
1047,baricitinib  nmbr mg daily ( n = nmbr ),-1
1466,female race / ethnicity,-1
1467,timing of clopidogrel loading dose,-1
1046,any relevant infarct,-1
1043,without dm ( n = nmbrinmbr * ),-1
1146,depressed and low perceived social support,-1
1148,emergent / urgent surgery,-1
635,single vessel coronary artery disease *,-1
1264,nationality,-1
1346,treatment duration  days,-1
1347,warfarin ( n = nmbr ),-1
1348,reported hypertension *,-1
1269,fibrin - specific,-1
1268,nicotine pack - years,-1
1267,biomarker status,-1
1266,history of paroxysmal atrial fibrillation  n ( % ),-1
1353,physical function ( nmbr - nmbr  short form - nmbr subscale ),-1
1258,certolizumab group ( n = nmbr ),-1
1149,laboratory measurements,-1
1255,vertebrobasilar infarct,-1
1251,pulse rate ( bpm ),-1
1358,haq - di score ( nmbr - nmbr ),-1
1248,medium - or low - intensity statin,-1
1247,medical history,-1
1241,salmeterol - fluticasone group,-1
1236,icd therapy vs . placebo no . hazard ratio ( nmbr . nmbr % cl ),-1
1363,three - vessel disease,-1
1345,intensive control,-1
1344,acute rheumatic disorders,-1
1343,osteoporosis,-1
1278,paclitaxel - eluting,-1
1306,ticlopidine ( n = nmbr ),-1
1326,hematologic,-1
1303,diabetic treatments !,-1
1328,ipf - related,-1
1300,thrombolytic treatment before randomization,-1
1298,serum haemoglobin anmbrc concentration ( % )  mean ( sd ),-1
1331,hba  % nmbrc,-1
1295,postoperative glucocorticoid use,-1
1333,hormone therapy,-1
1294,mean sgrq total score ( sd ),-1
1292,number of events / patients,-1
1290,pacific islander,-1
1287,circumflex,-1
1338,glomerular,-1
1286,pretreatment / concomitant treatment,-1
1279,distal anastomosis ( % ),-1
1341,balloon angioplasty plus abciximab,-1
1364,st - segment depression > nmbr . nmbr mv on admission  %,-1
1365,planned treatment duration  n ( % ),-1
1366,inadequate response / intolerance to prior therapy  %,-1
1188,angiotensin - converting enzyme inhibitor or angiotensin receptor blocker,-1
1389,tendonitis,-1
1179,tobacco use ( % ),-1
1391,oral contraceptives,-1
1392,anatomic complexity characteristics,-1
1175,spironolactone ( n = nmbr ),-1
1173,hormonal status,-1
1172,functional assessment of chronic illness,-1
1169,class i or iii aad use in nmbr months before enrollment,-1
1168,ejection fraction  % nyha class  n ( % ),-1
1166,additional investigations,-1
1399,diltiazem or verapamil,-1
1165,modmy al randcnxzaton,-1
1158,atherosclerosis^  n ( % ),-1
1402,bilateral disease ( % ) ' j ' ' j ',-1
1403,pathological q waves,-1
1404,leukocytes  nmbr / nl,-1
1405,lipid - lowering agents ( % ),-1
1181,history of congestive heart failure,-1
1192,permanently stopped study drug because of adverse events,-1
1231,anticoagulant therapy,-1
1194,metformin dose  mg,-1
1368,predominant type of heparin,-1
1369,western europe / australia / israel,-1
1229,south asian,-1
1228,dyspepsia,-1
1221,abrupt vessel closure,-1
1373,pulmonary embolism,-1
1220,history of bone disease ( predefined )  n ( % ),-1
1208,radius fracture,-1
1207,remission  n ( % ),-1
1206,genotyping,-1
1378,joint swelling,-1
1379,nmbrmwd decrease > nmbr m,-1
1380,profound thrombocytopenia ( < nmbrxnmbr / l ),-1
1205,denosumab ( n = nmbr ),-1
1201,intermittent claudication,-1
1383,peripheral edema,-1
1198,apremilast nmbr mg bid n = nmbr,-1
991,mental component score ( mcs ),-1
987,muscle spasms,-1
985,creatinine clearance by c - g ( ml / min ),-1
1608,current drinker,-1
1600,gusto - defined bleeding,-1
1601,peripheral vasodilators,-1
760,atrial flutter,-1
759,energy / fatigue,-1
1604,angiotensin - converting enzyme or angiotensin receptor blocker,-1
1605,perianal or anus,-1
1606,framingham nmbr - year cv risk score,-1
757,allhat - llt,-1
754,least square mean ( se ),-1
1494,documented asymptomatic cardiac ischemiac,-1
744,laba users,-1
1611,musculoskeletal,-1
741,hbanmbrc category  n ( % ),-1
733,opg  ( ng / ml ),-1
727,long - acting or short - acting nitrates,-1
725,coronary angiography during the index hospital stay,-1
1616,stiffness subscale,-1
724,enrollment in lmwh,-1
1599,repaired chd,-1
1598,das - nmbr ( crp ) < nmbr . nmbr  n ( % ),-1
1597,cad history and risk factors  n ( % ),-1
1596,upper gastrointestinal,-1
824,history of cardiovascular disease,-1
822,medications at randomization,-1
820,hyperkalemia ( > nmbr . nmbr meq / l ),-1
819,receptor blockers  n ( % ) baseline lipid and apolipoprotein levels,-1
810,no dysglycaemia or mets,-1
803,blood leukocyte count ( nmbr cells per l ),-1
802,hoehn and yahr stage ( range  nmbr - nmbr ),-1
799,smoking status at screening  n ( % ),-1
786,cardiac failure  n ( % ),-1
781,inflammatory disease,-1
778,rankin grade,-1
772,parental history of myocardial infarction before nmbr yr of age ( % ),-1
771,planned treatment strategy,-1
1592,history of percutaneous coronary intervention,-1
770,candesartan nmbr / nmbr,-1
761,subjects randomized,-1
1595,low - dose corticosteroid user,-1
720,diabetes therapy  n ( % ),-1
716,prasugrel,-1
712,glycemic drugs,-1
670,history of myocardial infarction ( % ),-1
1643,absolute risk difference ( ci )  % *,-1
1644,proctosigmoiditis,-1
669,losmapimod,-1
1646,cat total score,-1
663,cangrelor  %,-1
1648,intervention group ( n = nmbr ),-1
659,other countries,-1
1650,apoa - nmbr  g / l,-1
658,mets w / o tnmbrdm,-1
656,prior lipid - modifying therapy,-1
654,education  high school or higher,-1
1654,systemic glucocorticoid use at randomisation,-1
651,bdi total score ( baseline ),-1
650,iwqol - lite physical score ( arbitrary units ),-1
645,relative risk reduction ( nmbr % cl ),-1
643,crohn ' s disease activity index score],-1
1659,duration of crohn ' s disease ( yrs ),-1
1642,microalbuminuria or proteinuria,-1
672,severely impaired,-1
711,use nmbr - asa compounds,-1
674,anticyclic citrullinated peptide positive^  n ( % ),-1
708,glucose test,-1
706,low - molecular - weight,-1
1624,glycopyrronium nmbr mg ( n = nmbr ),-1
704,zotarolimus - eluting,-1
697,lumbar spine,-1
695,cancer ( n = nmbr ),-1
694,impaired fasting glucose level ( n = nmbr ),-1
693,neither pbo + statin eze + statin,-1
690,left ventricular ef  mean ( sd )  %,-1
1631,hospital factor # nmbr,-1
689,bronchitis,-1
1633,persistent anemia bsl hb < nmbrg i - nmbr  yr nmbr < nmbrg i nmbr,-1
1634,troponin t,-1
686,classification of af  no . ( % ),-1
675,wrist fracture,-1
1637,stroke risk score,-1
1638,daily insulin dose  mean ( sd )  iu,-1
826,intervention in complex lesions,-1
1577,orthostatic hypotension,-1
827,peak creatine kinase - mb  u / l,-1
954,ldl particle size ( week nmbr ),-1
951,unacceptable adverse events,-1
948,celecoxib ( n = nmbr ),-1
1518,history of intermittent claudication and abi < nmbr - nmbr or substantial peripheral arterial stenosis > nmbr %,-1
1519,months since ra was first diagnosed  mean ( sd ),-1
1520,hemorrhagic stroke ( n = nmbr ),-1
946,intended clopidogrel dose nmbr mg,-1
945,endoscopy subscore,-1
937,philippines,-1
936,mean blood pressure  mmhg ( s . d . j,-1
934,acute coronary syndrome nmbr,-1
927,very severe n z nmbr,-1
1527,% predicted pre - bronchodilator fevnmbr  % *,-1
924,sfnmbr - pcs,-1
923,creatinine  mean ( sd )  mg / dl,-1
910,prior cardiac surgery  n ( % ),-1
1531,general and lumbar epidural,-1
908,who / idf ifg,-1
952,tolal choleslerol - lo - hdl choleslerol ralio,-1
956,parameter,-1
905,total study population ( n = nmbr  nmbr ),-1
1512,vascular disease indicator no ( n = nmbr ),-1
983,family history of venous thromboembolism ( % ),-1
1496,disease location / type : terminal ileum,-1
982,vitamin e,-1
1498,clinical presentation,-1
981,rivastigmine ( n = nmbr ),-1
980,gallbladder - related aes,-1
973,any pulmonary medication,-1
1502,cardiac therapy  n ( % ) d,-1
970,biomarker low ( periostin < nmbr ng / ml or blood eosinophils < nmbr cells per pl )  na,-1
969,acc / aha lesion class bnmbr or c  n ( % ),-1
1505,apob : apoa - nmbr ratio,-1
1506,length of stay ( randomization to discharge  h ),-1
967,patients ' characteristics age ( years )  mean + sd,-1
1508,peripheral - artery disease ( % ),-1
1509,severity of the disease ( gold nmbr )  n ( % ),-1
964,cardiac rhythm,-1
1511,coronary bypass graft,-1
906,sita / pio nmbr / nmbr,-1
1535,diameter stenosis  mean ( sd )  %,-1
1575,chronic heart failure,-1
858,respiratory medication ( % ),-1
853,modified rankin scale score,-1
852,loop at last follow - up,-1
845,blood eosinophil count ( nmbr cells per l ),-1
1561,angina class at baseline,-1
843,western european includinq australia  israel  and south africa,-1
1563,albuminuria ( g / g ),-1
840,large - artery atherosclerosis,-1
835,int . p *,-1
1566,hdl cholesterol ( week nmbr ) a,-1
834,pancreatic cancer,-1
833,type of treatment  n ( % ),-1
832,angiotensin receptor blocker and / or ace,-1
831,leisure,-1
1571,menopausal status and use of hrt ( % ) y,-1
1572,renin inhibitor ( e . g . aliskerin ),-1
830,antithrombotic agents  n ( % ),-1
829,leflunomide ( mean dose : nmbr . nmbr mg / day ),-1
857,killip class,-1
1555,riva roxa ban n / n { % ) nmbr ( nmbr . nmbr ),-1
1536,biologic naive,-1
862,smoking status ( % ),-1
1537,systemic corticosteroids  n ( % ) a,-1
895,time from symptom onset to randomization,-1
1539,fasting blood glucose ( mg / dl ),-1
889,fish oil,-1
1541,rhabdomyolysis  myopathy  or myalgia with ck elevation > nmbrx uln,-1
887,blood pressure - lowering treatment,-1
886,european union,-1
882,control group ( n = nmbr ),-1
1545,phospholipid omega - nmbr levels : < nmbr % ( n = nmbr ),-1
880,pfo closure group ( n = nmbr ),-1
875,triple therapy use at screening  n ( % ),-1
871,open triple ( n = nmbr ),-1
1549,low hdl cholesterol,-1
870,smoking habit  n ( % ),-1
869,phosphorus  mmol nmbr nmbr,-1
868,standard therapy,-1
865,key secondary end point : st,-1
1999,disease activity outcomes ( itt population ) week nmbr,-1
