"";"terms"
"20498";"Primary"
"20499";"Primary-prevention cohort"
"20500";"Primary +GUSTO severe bleeding"
"20501";"Primary analysis"
"20502";"Primary and secondary prevention subgroups; adjusted for age, gender, hypertension, diabetes mellitus, and smoking. HR indicates hazard ratio; 95% Cl, 95% confidence interval; TIA, transient ischemic attack."
"20503";"Primary angioplasty (n = 108)"
"20504";"Primary cardiovascular endpoint"
"20505";"Primary cause of CHF"
"20506";"Primary cause of heart failure"
"20507";"Primary composite end point"
"20508";"Primary composite end point‡"
"20509";"Primary composite end points"
"20510";"Primary composite endpoint‡"
"20511";"Primary composite outcome"
"20512";"Primary composite^"
"20513";"Primary CV endpoint"
"20514";"Primary efficacy outcome"
"20515";"Primary end-point"
"20516";"Primary end point"
"20517";"Primary End point"
"20518";"Primary End Point"
"20519";"Primary end point |"
"20520";"Primary End Point Kaplan-Meier Rate, %"
"20521";"Primary end point"""
"20522";"Primary end point*"
"20523";"Primary End Point, No. of Events/Total No. (%)"
"20524";"Primary end point: Death/MI/IDR/ST"
"20525";"Primary end points"
"20526";"Primary endpoint"
"20527";"Primary Endpoint"
"20528";"Primary endpoint death/MI/IDR/ST"
"20529";"Primary endpoint:"
"20530";"Primary endpoint^"
"20531";"Primary endpoint’"
"20532";"Primary endpoint4"
"20533";"Primary enrollment diagnoses, n (%)"
"20534";"Primary EP (CVD/MI/RI)"
"20535";"Primary hemorrhagic stroke"
"20536";"Primary indication"
"20537";"Primary ischemic stroke"
"20538";"Primary MACE endpoint"
"20539";"Primary nonresponse"
"20540";"Primary outcome"
"20541";"Primary Outcome"
"20542";"Primary Outcome (3-Point MACE)"
"20543";"Primary outcome plus revascularization or nonfatal HF"
"20544";"Primary outcome!"
"20545";"Primary outcome! (n=743)"
"20546";"Primary outcome: 20% decrease in WOMAC pain score"
"20547";"Primary outcomes"
"20548";"Primary PCI"
"20549";"Primary PCi (n = 686)"
"20550";"Primary PCI (n = 806)"
"20551";"Primary PCI (N = 806)"
"20552";"Primary PCI (N = 948)"
"20553";"Primary PCI (n=948)"
"20554";"Primary PCI n=948"
"20555";"Primary PCI no."
"20556";"Primary PCIt"
"20557";"Primary prevention subgroup"
"20558";"Primary Prevention Subgroup"
"20559";"Primary Renal Endpoint"
"20560";"Primary Renal Endpoint or Death"
"20561";"Primary safety end point: Severe/life-threatening"
"20562";"Primary safety outcome -"
"20563";"Primary study joint, n (%)"
"20564";"Primary target vessel (%)"
"20565";"Primary trial end point"
"20566";"Primary*"
"20567";"Primary/key efficacy endpoint"
"20568";"Primary+GUSTO moderate or severe bleeding"
"20569";"Prior"
"20570";"Prior a-blocker use"
"20571";"Prior ACBi or ARB use"
"20572";"Prior ADMb"
"20573";"Prior AEDs, ≥1, n (%)"
"20574";"Prior AF ablation, n (%)"
"20575";"Prior amputation"
"20576";"Prior analgesic products, n (%)"
"20577";"Prior angina"
"20578";"Prior Angina"
"20579";"Prior angina (n = 2,768)"
"20580";"Prior angina pectoris"
"20581";"Prior angina pectoris — no./total no. (%)"
"20582";"Prior angina, n/N (%)"
"20583";"Prior angiography showing stenosis ≥50%, N = 247 235a"
"20584";"Prior angiography showing stenosis ≥50%, N = 521 09a"
"20585";"Prior angiography showing stenosis >50%, N = 52109°"
"20586";"Prior angioplasty"
"20587";"Prior anti-TNF exposure"
"20588";"Prior anti-TNF failure"
"20589";"Prior anti-TNF therapy"
"20590";"Prior anti-TNF therapy — no. (%)"
"20591";"Prior anti-TNF treatment"
"20592";"Prior antihypertensive medication, n (%)"
"20593";"Prior antiinflammatory/antirheumatic products, n (%)"
"20594";"Prior aortocoronary bypass surgery"
"20595";"Prior aortocoronary bypass surgery — no. (%)"
"20596";"Prior aortocoronary bypass surgery 一no. (%)"
"20597";"Prior arrhythmias, n (%)"
"20598";"Prior ASA use"
"20599";"Prior aspirin"
"20600";"Prior aspirin use"
"20601";"Prior BB plus ACBi plus ARB use"
"20602";"Prior biologic exposure"
"20603";"Prior biologic therapeutic failures, n (%)"
"20604";"Prior biologic therapy (including anti-TNFs)"
"20605";"Prior biologic use"
"20606";"Prior bisphosphonate usage"
"20607";"Prior BP use"
"20608";"Prior brachytherapy"
"20609";"Prior bypass graft surgery"
"20610";"Prior CABG"
"20611";"Prior CABG (before index ACS)"
"20612";"Prior CABG surgery"
"20613";"Prior CABG, %"
"20614";"Prior CAD"
"20615";"Prior cancer"
"20616";"Prior Cancer"
"20617";"Prior cardiac resynchronization therapy, n (%)"
"20618";"Prior cardiac surgery, n (%)"
"20619";"Prior cardiovascular disease"
"20620";"Prior cardiovascular event"
"20621";"Prior cardiovascular event— no. (%)-j-"
"20622";"Prior cardiovascular event""'"""
"20623";"Prior cardiovascular history"
"20624";"Prior carotid intervention"
"20625";"Prior cerebrovascular disease"
"20626";"Prior CHF"
"20627";"Prior CHF, %"
"20628";"Prior clinical fracture (since age 45)"
"20629";"Prior congestive heart failure"
"20630";"Prior Congestive heart failure"
"20631";"Prior congestive heart failure Yes"
"20632";"Prior conventional synthetic DMARDs, n (%)"
"20633";"Prior COPD medication"
"20634";"Prior COPD medicationa, n (%)"
"20635";"Prior coronary artery bypass graft"
"20636";"Prior coronary artery bypass graft surgery"
"20637";"Prior coronary artery bypass grafting"
"20638";"Prior coronary artery bypass surgery"
"20639";"Prior coronary artery disease Yes"
"20640";"Prior coronary intervention or coronary artery bypass grafting"
"20641";"Prior coronary revascularization"
"20642";"Prior coronary revascularization — no. {%)"
"20643";"Prior coronary revascularization (PCI or CABG)"
"20644";"Prior coronary revascularization, n (%)"
"20645";"Prior coronary revascularization, n(%)"
"20646";"Prior coronary revascularization, n/N (%)"
"20647";"Prior coronary revascularization, no. (%)"
"20648";"Prior corticosteroid failure only"
"20649";"Prior corticosteroid treatment"
"20650";"Prior CV event"
"20651";"Prior CV Event"
"20652";"Prior CV event at randomization!"
"20653";"Prior CV history"
"20654";"Prior CV history, n (%)"
"20655";"Prior CVD"
"20656";"Prior diabetes"
"20657";"Prior Diagnosis- no. (%)"
"20658";"Prior disease"
"20659";"Prior disease-modifying drugs resulting in inadequate response — mean no./patient"
"20660";"Prior DM"
"20661";"Prior ED therapy"
"20662";"Prior electrical cardioversion for AF (n=21 104)"
"20663";"Prior failure of anti-TNF therapy — no. (%)"
"20664";"Prior gestational diabetes"
"20665";"Prior heart failure"
"20666";"Prior Heart Failure"
"20667";"Prior heart failure — no. {%)"
"20668";"Prior Heart Failure (n = 2,105)"
"20669";"Prior Heart Failure Yes"
"20670";"Prior heart failure, %"
"20671";"Prior heart failure, n (%)"
"20672";"Prior heart failure, n/N (%)"
"20673";"Prior HF (n = 1,069)"
"20674";"Prior HF hospitalization"
"20675";"Prior HF Hospitalization (n=147)"
"20676";"Prior HF n=1068"
"20677";"Prior history Ml or stroke"
"20678";"Prior history of bleeding on OAC"
"20679";"Prior history of cardiovascular disease, n (%)"
"20680";"Prior history of MI or ischaemic stroke"
"20681";"Prior history of Ml or ischemic stroke"
"20682";"Prior hospitalization for HF, %"
"20683";"Prior hospitalizations, n (%)"
"20684";"Prior HTN (n = 1,659)"
"20685";"Prior hypertension"
"20686";"Prior Hypertension Yes"
"20687";"Prior hypertensiona Yes"
"20688";"prior immunnosupressive failure but no anti-TNF failure"
"20689";"Prior immunosuppressant failure"
"20690";"Prior immunosuppressant failure"""
"20691";"Prior immunosuppressant failurec"
"20692";"Prior immunosuppressive exposure, n (%)"
"20693";"Prior implantable cardiodefibrillator, n (%)"
"20694";"Prior infarction"
"20695";"Prior insulin use (years)"
"20696";"Prior ischemic stroke"
"20697";"Prior Ischemic Stroke"
"20698";"Prior known stenosis >50%"
"20699";"Prior LEV"
"20700";"Prior LEV treatment"
"20701";"Prior LEV treatment, n (%)"
"20702";"Prior LEV use"
"20703";"Prior LGI event"
"20704";"Prior lipid-lowering agent use"
"20705";"Prior lipid-modifying therapy"
"20706";"Prior LLT"
"20707";"Prior lower GI clinical event"
"20708";"Prior medication use, n (%)"
"20709";"Prior medications"
"20710";"Prior mesalazine use*"
"20711";"Prior MI"
"20712";"Prior MI (n - 2,456)"
"20713";"Prior MI (n = 2,151)"
"20714";"Prior MI (n= 3,584)"
"20715";"Prior MI diagnosis:"
"20716";"Prior MI n=2147"
"20717";"Prior MI within 5 y, no. (%)"
"20718";"Prior MI, %"
"20719";"Prior MI, n/N (%)"
"20720";"Prior migraine"
"20721";"Prior Migraine*"
"20722";"Prior Ml"
"20723";"Prior Ml (before index ACS)"
"20724";"Prior Ml or abnormal angiogram"
"20725";"Prior Ml or stroke at baseline"
"20726";"Prior Ml/stroke"
"20727";"Prior MS treatment with IFN-beta or"
"20728";"Prior MS treatment with IFN-beta or glatiramer acetate. No. (%)"
"20729";"Prior myocardial infarction"
"20730";"Prior myocardial Infarction"
"20731";"Prior Myocardial Infarction"
"20732";"Prior myocardial infarction — no. (%)"
"20733";"Prior myocardial infarction — no. {%)"
"20734";"Prior myocardial infarction — no./total no. (%)"
"20735";"Prior myocardial infarction (%)"
"20736";"Prior myocardial infarction 一no. (%)"
"20737";"Prior myocardial infarction Yes"
"20738";"Prior myocardial infarction, %"
"20739";"Prior myocardial infarction, n (%)"
"20740";"Prior myocardial infarction, n(%)"
"20741";"Prior myocardial infarction, No./total No. (%)"
"20742";"Prior myocardial intarction"
"20743";"Prior non-CNS SE"
"20744";"Prior non-haemorrhagic stroke"
"20745";"Prior nonvertebral fracture"
"20746";"Prior nonvertebral fracture at age >55 years"
"20747";"Prior NSAID use"
"20748";"Prior NSAID, n (%)a"
"20749";"Prior OABG surgery"
"20750";"Prior OAC"
"20751";"Prior OAD:"
"20752";"Prior OM"
"20753";"Prior OMA use"
"20754";"Prior OMA use (N = 120)"
"20755";"Prior or new diabetes"
"20756";"Prior pacemaker, n (%)"
"20757";"Prior PAD"
"20758";"Prior PCI"
"20759";"Prior PCI or CABG"
"20760";"Prior PCI or CABG surgery"
"20761";"Prior PCI, %"
"20762";"Prior percutaneous coronary intervention"
"20763";"Prior percutaneous coronary intervention — no. (%)"
"20764";"Prior percutaneous coronary intervention — no./total no. (%)"
"20765";"Prior percutaneous coronary intervention, n (%)"
"20766";"Prior Peripheral arterial disease"
"20767";"Prior peripheralarterialdisease"
"20768";"Prior PTCA or CABG"
"20769";"Prior PTCA or PCI"
"20770";"Prior PTCA/PCI"
"20771";"Prior revascularization"
"20772";"Prior revascularization (%)"
"20773";"Prior revascularization (n = 1,690)"
"20774";"Prior smoker"
"20775";"Prior Statin (n=379, 372)"
"20776";"Prior statin use"
"20777";"Prior statin use (n = 144)"
"20778";"Prior STEMI"
"20779";"Prior stent"
"20780";"Prior Stent"
"20781";"Prior stroke"
"20782";"Prior Stroke"
"20783";"Prior stroke — no. (%)"
"20784";"Prior stroke (%)"
"20785";"Prior stroke (before index event)"
"20786";"Prior stroke (N = 902)"
"20787";"Prior stroke or TIA"
"20788";"Prior Stroke or TIA"
"20789";"Prior stroke or TIA, %"
"20790";"Prior stroke or transient ischemic attack"
"20791";"Prior Stroke or TZA"
"20792";"Prior stroke/MI, N (%)"
"20793";"Prior stroke/TIA"
"20794";"Prior Stroke/TIA"
"20795";"Prior sulfasalazine use*"
"20796";"Prior surgery for CD, n (%)"
"20797";"Prior surgery for CD, n [%]"
"20798";"Prior surgery: No"
"20799";"Prior therapy with omalizumab: Yes"
"20800";"Prior therapy with TNF antagonist, n (%)"
"20801";"Prior therapy, %"
"20802";"Prior Thienopyridine (-)"
"20803";"Prior Thienopyridine (+)"
"20804";"Prior TIA"
"20805";"Prior TNF antagonist failure-No"
"20806";"Prior TNF antagonist failure-Yes"
"20807";"Prior TNF antagonist failure, n [%]"
"20808";"Prior TNF antagonist failure, n(%)b"
"20809";"Prior TNF antagonist treatment-No"
"20810";"Prior TNF antagonist treatment-Yes"
"20811";"Prior TNF antagonist, n [%]‘*"
"20812";"Prior TNF inhibitor exposure"
"20813";"Prior TNF inhibitor exposure, no. (%)"
"20814";"Prior TNFI Treatment"
"20815";"Prior TNFi, n (%)"
"20816";"Prior to index event"
"20817";"Prior tobacco use, n (%)"
"20818";"Prior transient ischaemic"
"20819";"Prior transient ischemic attack"
"20820";"Prior treatment"
"20821";"Prior treatment — %"
"20822";"Prior treatment — no. (%)"
"20823";"Prior treatment History1"
"20824";"Prior UGI event"
"20825";"Prior upper GI clinical event"
"20826";"Prior urate lowering therapies, n (%)"
"20827";"Prior use of $ 2 systemic therapies"
"20828";"Prior use of biologic agents"
"20829";"Prior use of biologics, n (%)"
"20830";"Prior use of conventional DMARDs only (biologic-nai've), n (%)"
"20831";"Prior use of osteoporosis medications"
"20832";"Prior use of osteoporosis medications, n (%)"
"20833";"Prior use of synthetic DMARDs"
"20834";"Prior use of synthetic DMARDs, n (%)"
"20835";"Prior use of systemic"
"20836";"Prior VKA experience"
"20837";"Prior VKA use for >60 d, %"
"20838";"Prior years taking warfarin"
"20839";"Priorbone disease"
"20840";"Priorheartfailure,%"
"20841";"Priorother(not predefined) medical conditions"
"20842";"Priorother(predefined) medical conditions"
"20843";"Priorvascular disease,%"
"20844";"Pro-active intervention"
"20845";"Pro/Pro homozygotes"
"20846";"Proactive Intervention (n = 436a)"
"20847";"proADM (ng/ml)"
"20848";"Probability""of event %"
"20849";"Probable"
"20850";"Probable stent thrombosis"
"20851";"Probenecid"
"20852";"Procalcitonin (ng/ml)"
"20853";"Procedure"
"20854";"Procedure**"
"20855";"Procedures after discharge — no. (%)"
"20856";"Procedures for index event"
"20857";"Procedures in the hospital — no. (%)"
"20858";"Proctosigmoiditis"
"20859";"Profound thrombocytopenia (<20x109/L)"
"20860";"Progestins"
"20861";"Progression of albuminuria"
"20862";"Progression to Diabetes"
"20863";"Propafenone"
"20864";"Propionic acid derivatives"
"20865";"proportion"
"20866";"Proportion (%) of individuals • Control    Alirocumab"
"20867";"Proportion (%) of individuals A Alirocumab • Placebo"
"20868";"Proportion (95% CI) adjusted for baseline HbA1c , %"
"20869";"Proportion of angioedema-free days from week 4 to week 12x"
"20870";"Proportion of Patients in Corticosteroid-free Clinical Remission at Week 26"
"20871";"Proportion of patients who achieved ACR20 n/N (%)"
"20872";"Proportion of patients with trough FEVi >100 mL above baseline, n (%)"
"20873";"Proportion of predicted normal FEV1 value;,§"
"20874";"Proportion of responders n/N (%)"
"20875";"Proportion taking pulmonary medications (%)b"
"20876";"Proportions, n (%)"
"20877";"Proprotein Convertase Subtil/Kexin Typ9 (ng/mL) -Baseline - < Median (n=215, 203)"
"20878";"Proprotein Convertase Subtil/Kexin Typ9 (ng/mL) -Baseline - >= Median (n=201, 209)"
"20879";"PROSPER"
"20880";"Prostate biopsy"
"20881";"Prostate cancer"
"20882";"Prostate volume (cm3)"
"20883";"Prostate volume (mL)"
"20884";"Prosthetic"
"20885";"Protein in urine, ≥1+"
"20886";"Proteinuria (>2 g/24 h), %"
"20887";"Proteinuria3 (g/day)"
"20888";"Prothrombin mutation (%)"
"20889";"Proton-pump inhibitor"
"20890";"Proton-pump inhibitors"
"20891";"Proton pump inhibitor"
"20892";"Proton pump inhibitor (n, %)"
"20893";"Proton pump inhibitor use"
"20894";"Proton pump inhibitors"
"20895";"Provoked"
"20896";"Proximal"
"20897";"Proximal-MainLeft"
"20898";"Proximal gastrointestinal tract"
"20899";"Proximal GI tract"
"20900";"Proximal Gl tract, n (%)"
"20901";"Proximal to the splenic flexure"
"20902";"PsA"
"20903";"PSA"
"20904";"PsA-modified MASES score (1-15)"
"20905";"PsA‐modified MASES score (1–15 scale)"
"20906";"PsA-modified SHS of hands & feet1(0-528)"
"20907";"PsA‐modified SHS of hands and feet"
"20908";"PsA-modified SHS(0-528)"
"20909";"PsA-modified total SHS"
"20910";"PSA (ng/mL)"
"20911";"PsA duration (years)"
"20912";"PsA duration (years), mean (SD)"
"20913";"PsA duration, years"
"20914";"PSA level, ng/mL"
"20915";"PsA pain (VAS)"
"20916";"PsA reported, n (%)"
"20917";"PsA subtypes, n (%)"
"20918";"PSA, ng/ml, mean (SD)"
"20919";"PSAP-B (ng/ml)"
"20920";"PsAQOL"
"20921";"Psoriasis"
"20922";"psoriasis (n ="
"20923";"Psoriasis > 3% of BSA"
"20924";"Psoriasis affecting >3% of body-surface"
"20925";"Psoriasis body surface area >3%"
"20926";"Psoriasis BSA >3%, n (%)"
"20927";"Psoriasis characteristics"
"20928";"Psoriasis covering >3% BSA, n (%)§"
"20929";"Psoriasis duration (years), mean (SD)"
"20930";"Psoriasis duration, mean ± SD, years"
"20931";"Psoriasis duration, years"
"20932";"Psoriasis duration, yrs*"
"20933";"Psoriatic arthritis"
"20934";"Psoriatic arthritis pain]"
"20935";"Psoriatic arthritis, %"
"20936";"Psychoactivesd"
"20937";"Psychogenic"
"20938";"Psycholeptics"
"20939";"Pt"
"20940";"PT baseline (Week 52)"
"20941";"Pt. Years= 245"
"20942";"Pt. Years= 556"
"20943";"Pt. Years= 810"
"20944";"Pt. Years=1484"
"20945";"Pt. Years=1563"
"20946";"Pt. Years=2283"
"20947";"Pt. Years=3099"
"20948";"Pt. Years=3818"
"20949";"Pt. Years=3898"
"20950";"Pt. Years=4572"
"20951";"Pt. Years=4825"
"20952";"Pt. Years=5136"
"20953";"PTCA"
"20954";"PTCA only"
"20955";"PTCA or PCI"
"20956";"PTCA/CABG"
"20957";"PtGA (0-10 cm VAS)"
"20958";"PtGA of disease activity (0‒100 mm), mean (SD)†"
"20959";"PtGA, 0-10"
"20960";"PtGA⁎⁎⁎"
"20961";"PtGADA (mm)"
"20962";"ptrend Across Doses"
"20963";"Pts"
"20964";"PTX3 (ng/mL)"
"20965";"Puerperium"
"20966";"Puerto Rican"
"20967";"Pulmonary congestion (CXR)"
"20968";"pulmonary disease"
"20969";"Pulmonary disease"
"20970";"Pulmonary disease — no. (%)"
"20971";"Pulmonary embolism"
"20972";"Pulmonary embolism ± deep vein thrombosis"
"20973";"Pulmonary embolism only"
"20974";"Pulmonary embolisma, n/N (%)"
"20975";"Pulmonary embolismb, n/N (%)"
"20976";"Pulmonary function tests (post-bronchodilator), mean (SD)"
"20977";"Pulmonary function tests, % of predicted"
"20978";"Pulmonary medication during baseline!'"
"20979";"Pulmonary medications (%)"
"20980";"Pulmonary rales"
"20981";"Pulmonary rales, n (%)"
"20982";"Pulmonary vascular resistance, dyne • s • cm 5"
"20983";"Pulse — beats/min"
"20984";"Pulse (beats/min) Cholesterol (mmol/l)"
"20985";"Pulse in beats/minute, mean(SD)"
"20986";"Pulse pressure"
"20987";"Pulse Pressure (Median 50.0]"
"20988";"Pulse pressure (mm Hg)"
"20989";"Pulse pressure (mmHg)"
"20990";"Pulse rate (bpm)"
"20991";"Pulse rate (mean 24 h), bpm*"
"20992";"Pulse rate, bpm (mean 24 h), mean (SD)*"
"20993";"Pulse, beats/min"
"20994";"Pump"
"20995";"Pure motor hemiparesis"
"20996";"Pure sensory stroke"
"20997";"PUVA"
"20998";"PV, mL"
"20999";"pvalue"
"21000";"pValue"
"21001";"Pvalue"
"21002";"PValue"
"21003";"PValue for Heterogeneity"
"21004";"Pvalue∗"
"21005";"pValuefor Any MI Versus No MI"
"21006";"pvaluefor interaction 0-28"
"21007";"pvaluefor interaction 0-39"
"21008";"pValuefor Trend"
"21009";"PValuefor Trend"
"21010";"PVD"
"21011";"PVR volume, ml, mean (SD)"
"21012";"PVR, mL"
"21013";"PY*"
"21014";"PY=1630.8)"
"21015";"PY=1948)"
"21016";"PY=2187.2)"
"21017";"PY=2612.8)"
"21018";"PY=2766.7)"
"21019";"PY=2957.6)"
"21020";"Pyrexia"
"21021";"Q-wave MI"
"21022";"Q (Q 1\"
"21023";"Q wave in the infarct territory at baseline*, %"
"21024";"Q wave MI"
"21025";"Q waves in the infarct territory at baseline*, %"
"21026";"Q1-Q3"
"21027";"Q1 (n = 82)"
"21028";"Q1: <55.05 kg (n=139vs70)"
"21029";"Q2 (n = 106)"
"21030";"Q2: 55.05 to <65.15 kg (n=141 vs 66)"
"21031";"Q2W (n 5 490)"
"21032";"Q3 (n = 92)"
"21033";"Q3: 65.15 to <78.25 kg (n=135 vs 73)"
"21034";"Q4 (n = 96)"
"21035";"Q4: >78.25 kg (n=139vs70)"
"21036";"Q4W (n = 28)"
"21037";"Q4W (n = 425)"
"21038";"Q4W (n = 438)"
"21039";"Q8W (n = 30)"
"21040";"Q8W (n = 428)"
"21041";"Q8W (n = 441)"
"21042";"QD"
"21043";"QIDS-SR16"
"21044";"Qmax (ml/S)"
"21045";"Qmax (mL/s)"
"21046";"Qmax category, n (%):"
"21047";"Qmax, mL/s"
"21048";"Qmax, ml/s, mean (SD)"
"21049";"Qmaxi rn L/s"
"21050";"QMI"
"21051";"QoL"
"21052";"QoL due to urinary symptoms,"
"21053";"QRS $120 ms (95% CL) (n - 613)"
"21054";"QRS <120 ms (95% CL) (n - 2,813)"
"21055";"QRS <120 msec"
"21056";"QRS >120 ms*"
"21057";"QRS >120 ms, % (n)"
"21058";"QRS >120 ms, n (%), available for 3653 patients"
"21059";"QRS >120 msec 6-Min walk test"
"21060";"QRS duration > 120 ms, n (%)"
"21061";"QRS duration, ms"
"21062";"QRS interval >120 msec — no. (%)"
"21063";"QRS width, ms"
"21064";"QTc >450 n=1190"
"21065";"QTC<450 n=5117"
"21066";"Qualifying ACS event — no. (%)"
"21067";"Qualifying Atherosclerosis"
"21068";"Qualifying CV event, n (%)"
"21069";"Qualifying diagnosis"
"21070";"Qualifying event"
"21071";"Qualifying event — no. (%)"
"21072";"Qualifying events"
"21073";"Qualifying HbA1c (%)"
"21074";"Qualifying high-risk features — %"
"21075";"Qualifying index event as PE"
"21076";"Qualifying MI $2 yrs prior"
"21077";"Qualifying MI <2 yrs prior"
"21078";"Qualifying MI type"
"21079";"Qualifying MI: STEMI"
"21080";"Qualifying myocardial infarction"
"21081";"Qualifying Myocardial Infarction"
"21082";"Qualifying NSTEMI, n (%)"
"21083";"Qualifying peripheral arterial disease"
"21084";"Qualifying risk factor"
"21085";"Qualifying risk factor — no. (%)"
"21086";"Qualifying risk factor, n (%)"
"21087";"Qualifying risk factors — no. (%)"
"21088";"Qualifying stroke"
"21089";"Qualifying symptomatic event, n (%)a"
"21090";"Qualifying type of atherosclerosis — no. (%)"
"21091";"Qualifying type of atherosclerosis, n (%)"
"21092";"Quality of life"
"21093";"Quartiles of FGF-23 (RU/ml)"
"21094";"Question 1 (fatigue/tiredness)"
"21095";"Question 2 (neck/back/hip pain)"
"21096";"Question 3 ( pain/swelling in joints other than neck/back/hips)"
"21097";"Question 4 (discomfort from any areas tender to touch/pressure)"
"21098";"Question 5 (morning stiffness since arising)"
"21099";"Question 6 (length of morning stiffness since arising)"
"21100";"QUICKI"
"21101";"Quintile (n)"
"21102";"Quintile 1 (1.11%-3.58%) (n=497)"
"21103";"Quintile 2 (3.59%-5.26%) (n=497)"
"21104";"Quintile 3 (5.26%-7.30%) (n=496)"
"21105";"Quintile 4 (7.30%-11.14%) (n=496)"
"21106";"Quintile 5 (11.15%-63.48%) (n=497)"
"21107";"Quintile, range, mg/dL"
"21108";"QVA149 110/50 |ig od n=372"
"21109";"QVA149110/50 pg once daily (n=258)"
"21110";"Qveral"
"21111";"R"
"21112";"r-tPA"
"21113";"R 10 mg"
"21114";"R 10 mg («=52)"
"21115";"R 10 mg + FA"
"21116";"R 10 mg + FA («=52)"
"21117";"R 20 mg"
"21118";"R 20 mg (n=53)"
"21119";"R 20 mg + FA"
"21120";"R 20 mg + FA («=52)"
"21121";"R 5 mg"
"21122";"R 5 mg (n=68)"
"21123";"R 5 mg + FA"
"21124";"R 5 mg + FA («=73)"
"21125";"R ight coronar y artery"
"21126";"R ight coronary"
"21127";"R wave in aVL (mm)"
"21128";"R|R''' (95% CI)"
"21129";"R10 (n = 98)"
"21130";"R10 + EZIO (n = 122)"
"21131";"R20 (n = 121)"
"21132";"R5 + EZIO (n = 99)"
"21133";"RA"
"21134";"rA-beAM"
"21135";"RA duration (months)*"
"21136";"RA duration (years), mean (s.e.)"
"21137";"Ra ndosii zat ion"
"21138";"RA symptom duration—year"
"21139";"RA symptom duration <3 months—number (%)"
"21140";"RAAS inhibitor"
"21141";"RAAS inhibitor use"
"21142";"RAAS inhibitors"
"21143";"Race"
"21144";"RACE"
"21145";"Race- no. (%)"
"21146";"Race-Non- White"
"21147";"Race-nonwhite"
"21148";"Race - n (%)"
"21149";"Race - no. (%)"
"21150";"Race - Non-White (n=26, 24)"
"21151";"Race - White (n=397, 399)"
"21152";"Race — no. (%)"
"21153";"Race — no. (%)'("
"21154";"Race — no. (%):c"
"21155";"Race — no. (%):t"
"21156";"Race — no. (%)|"
"21157";"Race — no. (%)卞"
"21158";"Race — no. (%)f"
"21159";"Race — no. {%)'i'"
"21160";"Race — no. {%)-i-"
"21161";"Race — no./total no. (%)f"
"21162";"Race (% White)"
"21163";"Race (%)"
"21164";"Race (%) White"
"21165";"Race (%)$"
"21166";"Race (%))'"
"21167";"Race (%)*"
"21168";"Race (non-white) (%)"
"21169";"Race (p=O-85)"
"21170";"Race (white, n [%])"
"21171";"Race / ethnicity, n (%)"
"21172";"Race and SS at baseline"
"21173";"Race n (%)"
"21174";"Race N(%)"
"21175";"Race nonwhitet"
"21176";"Race or ethnic background — no. (%)f"
"21177";"Race or ethnic group"
"21178";"Race or ethnic group — no. (%):t"
"21179";"Race or ethnic group — no. (%)f"
"21180";"Race or ethnic group — no. {%)■'( White"
"21181";"Race or ethnic group — no./total no. (%)f"
"21182";"Race or ethnic group — no.f"
"21183";"Race or ethnic group (%)"
"21184";"Race or ethnic group (%)f"
"21185";"Race or ethnic group, n (%)*"
"21186";"Race or ethnic group, no. (%)"
"21187";"Race or ethnic origin"
"21188";"Race or ethnicity"
"21189";"Race or ethnicity, n (%)"
"21190";"Race White"
"21191";"Race*"
"21192";"Race, %"
"21193";"Race, % Caucasian"
"21194";"Race, % nonwhite"
"21195";"Race, % of patients"
"21196";"Race, % white"
"21197";"Race, Asian, n (%)"
"21198";"Race, Black or African-American, n (%)"
"21199";"Race, n (%)"
"21200";"Race, N (%)"
"21201";"Race, n (%) White"
"21202";"Race, n (%)*"
"21203";"Race, n (%):"
"21204";"Race, n (%)’"
"21205";"Race, n (%)+"
"21206";"Race, n (%)a"
"21207";"Race, n (%)b"
"21208";"Race, n (%)t"
"21209";"Race, n (%)y"
"21210";"Race, n (%]"
"21211";"Race, n(%)"
"21212";"Race, no. (%)"
"21213";"Race, No. (%)"
"21214";"Race, no. (%) white"
"21215";"Race, no. (%)*"
"21216";"Race, no. (%)b"
"21217";"Race, No. (%)c"
"21218";"Race, No./total (%)"
"21219";"Race, Non-White"
"21220";"Race, While"
"21221";"Race, white (%)"
"21222";"Race, white, n (% of patients)"
"21223";"Race, white, n (%)"
"21224";"Race, White, n (%)"
"21225";"Race, white, n (%)"
"21226";"Race, zz (%)"
"21227";"Race, n (%)"
"21228";"Race,*’ n (%)"
"21229";"Race,n (%)"
"21230";"Race,n(%)"
"21231";"Race/ethnicity"
"21232";"Race/Ethnicity"
"21233";"Race/ethnicity Chinese"
"21234";"Race/ethnicity n (%)"
"21235";"Race/ethnicity White"
"21236";"Race/ethnicity, %"
"21237";"Race/ethnicity, % White non-Hispanic"
"21238";"Race/ethnicity, no. (%)"
"21239";"Race/ethnicity, No. (%)"
"21240";"Race/ethnicity, no. (%)*"
"21241";"Race/ethnicity, zz (%)"
"21242";"Race:"
"21243";"Race: Non-White"
"21244";"Race: White"
"21245";"Race_White, %"
"21246";"Race§"
"21247";"Race3"
"21248";"Racea"
"21249";"Racea White"
"21250";"Racec, n (%)"
"21251";"Racey,z"
"21252";"Racial category"
"21253";"Racial category*"
"21254";"Racial group, n (%)"
"21255";"Radial"
"21256";"Radial access"
"21257";"Radial access — no./total no. (%)"
